urn:cite:croala:latmorph.morph.56.1,n-s---fvp,"adiectivum, pluralis, femininum, vocativus, positivus"
urn:cite:croala:latmorph.morph.57.1,n-s---fvs,"adiectivum, pluralis, femininum, vocativus, superlativus"
urn:cite:croala:latmorph.morph.58.1,n-s---mac,"adiectivum, pluralis, masculinum, accusativus, comparativus"
urn:cite:croala:latmorph.morph.59.1,n-s---map,"adiectivum, pluralis, masculinum, accusativus, positivus"
urn:cite:croala:latmorph.morph.60.1,n-s---mas,"adiectivum, pluralis, masculinum, accusativus, superlativus"
urn:cite:croala:latmorph.morph.61.1,n-s---mbc,"adiectivum, pluralis, masculinum, ablativus, comparativus"
urn:cite:croala:latmorph.morph.62.1,n-s---mbp,"adiectivum, pluralis, masculinum, ablativus, positivus"
urn:cite:croala:latmorph.morph.63.1,n-s---mbs,"adiectivum, pluralis, masculinum, ablativus, superlativus"
urn:cite:croala:latmorph.morph.64.1,n-s---mdc,"adiectivum, pluralis, masculinum, dativus, comparativus"
urn:cite:croala:latmorph.morph.65.1,n-s---mdp,"adiectivum, pluralis, masculinum, dativus, positivus"
urn:cite:croala:latmorph.morph.66.1,n-s---mds,"adiectivum, pluralis, masculinum, dativus, superlativus"
urn:cite:croala:latmorph.morph.67.1,n-s---mgc,"adiectivum, pluralis, masculinum, genitivus, comparativus"
urn:cite:croala:latmorph.morph.68.1,n-s---mgp,"adiectivum, pluralis, masculinum, genitivus, positivus"
urn:cite:croala:latmorph.morph.69.1,n-s---mgs,"adiectivum, pluralis, masculinum, genitivus, superlativus"
urn:cite:croala:latmorph.morph.70.1,n-s---mnc,"adiectivum, pluralis, masculinum, nominativus, comparativus"
urn:cite:croala:latmorph.morph.71.1,n-s---mnp,"adiectivum, pluralis, masculinum, nominativus, positivus"
urn:cite:croala:latmorph.morph.72.1,n-s---mns,"adiectivum, pluralis, masculinum, nominativus, superlativus"
urn:cite:croala:latmorph.morph.73.1,n-s---mvc,"adiectivum, pluralis, masculinum, vocativus, comparativus"
urn:cite:croala:latmorph.morph.74.1,n-s---mvp,"adiectivum, pluralis, masculinum, vocativus, positivus"
urn:cite:croala:latmorph.morph.75.1,n-s---mvs,"adiectivum, pluralis, masculinum, vocativus, superlativus"
urn:cite:croala:latmorph.morph.76.1,n-s---nac,"adiectivum, pluralis, neutrum, accusativus, comparativus"
urn:cite:croala:latmorph.morph.77.1,n-s---nap,"adiectivum, pluralis, neutrum, accusativus, positivus"
urn:cite:croala:latmorph.morph.78.1,n-s---nas,"adiectivum, pluralis, neutrum, accusativus, superlativus"
urn:cite:croala:latmorph.morph.79.1,n-s---nbc,"adiectivum, pluralis, neutrum, ablativus, comparativus"
urn:cite:croala:latmorph.morph.80.1,n-s---nbp,"adiectivum, pluralis, neutrum, ablativus, positivus"
urn:cite:croala:latmorph.morph.81.1,n-s---nbs,"adiectivum, pluralis, neutrum, ablativus, superlativus"
urn:cite:croala:latmorph.morph.82.1,n-s---ngc,"adiectivum, pluralis, neutrum, genitivus, comparativus"
urn:cite:croala:latmorph.morph.83.1,n-s---ngp,"adiectivum, pluralis, neutrum, genitivus, positivus"
urn:cite:croala:latmorph.morph.84.1,n-s---ngs,"adiectivum, pluralis, neutrum, genitivus, superlativus"
urn:cite:croala:latmorph.morph.85.1,n-s---ndc,"adiectivum, pluralis, neutrum, dativus, comparativus"
urn:cite:croala:latmorph.morph.86.1,n-s---ndp,"adiectivum, pluralis, neutrum, dativus, positivus"
urn:cite:croala:latmorph.morph.87.1,n-s---nds,"adiectivum, pluralis, neutrum, dativus, superlativus"
urn:cite:croala:latmorph.morph.88.1,n-s---nnc,"adiectivum, pluralis, neutrum, nominativus, comparativus"
urn:cite:croala:latmorph.morph.89.1,n-s---nnp,"adiectivum, pluralis, neutrum, nominativus, positivus"
urn:cite:croala:latmorph.morph.90.1,n-s---nns,"adiectivum, pluralis, neutrum, nominativus, superlativus"
urn:cite:croala:latmorph.morph.91.1,n-s---nvc,"adiectivum, pluralis, neutrum, vocativus, comparativus"
urn:cite:croala:latmorph.morph.92.1,n-s---nvp,"adiectivum, pluralis, neutrum, vocativus, positivus"
urn:cite:croala:latmorph.morph.93.1,n-s---nvs,"adiectivum, pluralis, neutrum, vocativus, superlativus"
 94 
urn:cite:croala:latmorph.morph.95.1,n-s---fac,"adiectivum, singularis, femininum, accusativus, comparativus"
urn:cite:croala:latmorph.morph.96.1,n-s---fap,"adiectivum, singularis, femininum, accusativus, positivus"
urn:cite:croala:latmorph.morph.97.1,n-s---fas,"adiectivum, singularis, femininum, accusativus, superlativus"
urn:cite:croala:latmorph.morph.98.1,n-s---fbc,"adiectivum, singularis, femininum, ablativus, comparativus"
urn:cite:croala:latmorph.morph.99.1,n-s---fbp,"adiectivum, singularis, femininum, ablativus, positivus"
urn:cite:croala:latmorph.morph.100.1,n-s---fbs,"adiectivum, singularis, femininum, ablativus, superlativus"
urn:cite:croala:latmorph.morph.101.1,n-s---fdc,"adiectivum, singularis, femininum, dativus, comparativus"
urn:cite:croala:latmorph.morph.102.1,n-s---fdp,"adiectivum, singularis, femininum, dativus, positivus"
urn:cite:croala:latmorph.morph.103.1,n-s---fds,"adiectivum, singularis, femininum, dativus, superlativus"
urn:cite:croala:latmorph.morph.104.1,n-s---fgc,"adiectivum, singularis, femininum, genitivus, comparativus"
urn:cite:croala:latmorph.morph.105.1,n-s---fgp,"adiectivum, singularis, femininum, genitivus, positivus"
urn:cite:croala:latmorph.morph.106.1,n-s---fgs,"adiectivum, singularis, femininum, genitivus, superlativus"
urn:cite:croala:latmorph.morph.107.1,n-s---fnc,"adiectivum, singularis, femininum, nominativus, comparativus"
urn:cite:croala:latmorph.morph.108.1,n-s---fnp,"adiectivum, singularis, femininum, nominativus, positivus"
urn:cite:croala:latmorph.morph.109.1,n-s---fns,"adiectivum, singularis, femininum, nominativus, superlativus"
urn:cite:croala:latmorph.morph.110.1,n-s---fvc,"adiectivum, singularis, femininum, vocativus, comparativus"
urn:cite:croala:latmorph.morph.111.1,n-s---fvp,"adiectivum, singularis, femininum, vocativus, positivus"
urn:cite:croala:latmorph.morph.112.1,n-s---fvs,"adiectivum, singularis, femininum, vocativus, superlativus"
urn:cite:croala:latmorph.morph.113.1,n-s---mac,"adiectivum, singularis, masculinum, accusativus, comparativus"
urn:cite:croala:latmorph.morph.114.1,n-s---map,"adiectivum, singularis, masculinum, accusativus, positivus"
urn:cite:croala:latmorph.morph.115.1,n-s---mas,"adiectivum, singularis, masculinum, accusativus, superlativus"
urn:cite:croala:latmorph.morph.116.1,n-s---mbc,"adiectivum, singularis, masculinum, ablativus, comparativus"
urn:cite:croala:latmorph.morph.117.1,n-s---mbp,"adiectivum, singularis, masculinum, ablativus, positivus"
urn:cite:croala:latmorph.morph.118.1,n-s---mbs,"adiectivum, singularis, masculinum, ablativus, superlativus"
urn:cite:croala:latmorph.morph.119.1,n-s---mdc,"adiectivum, singularis, masculinum, dativus, comparativus"
urn:cite:croala:latmorph.morph.120.1,n-s---mdp,"adiectivum, singularis, masculinum, dativus, positivus"
urn:cite:croala:latmorph.morph.121.1,n-s---mds,"adiectivum, singularis, masculinum, dativus, superlativus"
urn:cite:croala:latmorph.morph.122.1,n-s---mgc,"adiectivum, singularis, masculinum, genitivus, comparativus"
urn:cite:croala:latmorph.morph.123.1,n-s---mgp,"adiectivum, singularis, masculinum, genitivus, positivus"
