estlocus1,Alpes,"Inuictus quid enim ? uix Alpes scandis , et ecce",LEMMA,LEMMA CITE URN,MORPH CITE URN,ANNOTATOR,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div3.l11.w5,15942
estlocus1,Italiae,Obuia deditio totius Italiae !,LEMMA,LEMMA CITE URN,MORPH CITE URN,ANNOTATOR,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div3.l12.w4,15978
estlocus4,Eoas,Rursus ad Eoas continuata domos .,LEMMA,LEMMA CITE URN,MORPH CITE URN,ANNOTATOR,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div3.l26.w3,16441
estlocus4,Eois,Et sese Eois petit integrare triumphis :,LEMMA,LEMMA CITE URN,MORPH CITE URN,ANNOTATOR,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div3.l31.w3,16601
estlocus1,Italiaeque,"Italiaeque tibi propioribus inuidet oris ,",LEMMA,LEMMA CITE URN,MORPH CITE URN,ANNOTATOR,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div3.l35.w1,16737
estlocus2,Adriaci,"Parua uel Adriaci deuouet ora freti ,",LEMMA,LEMMA CITE URN,MORPH CITE URN,ANNOTATOR,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div3.l36.w3,16773
estlocus1,Francia,Vt pedes oppositas Francia calcet aquas .,LEMMA,LEMMA CITE URN,MORPH CITE URN,ANNOTATOR,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div3.l40.w4,16913
estlocus3,Gallos,"Trans freta nanque simul Gallos spectare licebit ,",LEMMA,LEMMA CITE URN,MORPH CITE URN,ANNOTATOR,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div3.l41.w5,16949
estlocus2,Illyriae,"Illyriae tellus reparabitur , obruta surget",LEMMA,LEMMA CITE URN,MORPH CITE URN,ANNOTATOR,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div3.l47.w1,17153
estlocus1,Graecia,Et redimet uultus Graecia tota suos .,LEMMA,LEMMA CITE URN,MORPH CITE URN,ANNOTATOR,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div3.l48.w4,17193
estlocus1,Epidaurus,Nec mea pendendis Epidaurus moesta tributis,LEMMA,LEMMA CITE URN,MORPH CITE URN,ANNOTATOR,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div3.l49.w4,17225
estlocus2,Eoae,"Vrbis et Eoae lacerata potentia surget ,",LEMMA,LEMMA CITE URN,MORPH CITE URN,ANNOTATOR,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div3.l53.w3,17337
estlocus1,Asia,"Aequalesque dabunt Asia atque Europa triumphos ,",LEMMA,LEMMA CITE URN,MORPH CITE URN,ANNOTATOR,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div3.l57.w3,17457
estlocus1,Europa,"Aequalesque dabunt Asia atque Europa triumphos ,",LEMMA,LEMMA CITE URN,MORPH CITE URN,ANNOTATOR,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div3.l57.w5,17465
estlocus3,Assyriosque,"Assyriosque ultra tendes , Garabacthra , uel Indos ,",LEMMA,LEMMA CITE URN,MORPH CITE URN,ANNOTATOR,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div3.l65.w1,17697
