estLocus,Nomen,Textus,LEMMA,LEMMA CITE URN,MORPH CITE URN,ANNOTATOR INITIALS,CTS URN,SEQUENCE,,,,,,,,,,,,,,,,,
estlocus1,Adria,"Sed ne , interiectis tot molibus , Adria clausus",Adria,urn:cite:perseus:latlexent.lex170.1,urn:cite:croala:latmorph.morph.13.1,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div20.l5.w6,33797.0,,,,,,,,,,,,,,,,,
estlocus2,Adriacas,"Adriacas tendat proximus horror aquas ,",Adriacus,urn:cite:croala:latlexent.lex50012.1,urn:cite:croala:latmorph.morph.41.1,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div21.l2.w1,33967.0,,,,,,,,,,,,,,,,,
estlocus3,Gallorum,3 . Ad regem Gallorum,Galli,urn:cite:perseus:latlexent.lex3371.1,urn:cite:croala:latmorph.morph.30.1,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div3.head.w4,15566.0,,,,,,,,,,,,,,,,,
estlocus1,Alpes,"Inuictus quid enim ? uix Alpes scandis , et ecce",Alpes,urn:cite:perseus:latlexent.lex429.1,urn:cite:croala:latmorph.morph.21.1,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div3.l11.w5,15942.0,,,,,,,,,,,,,,,,,
estlocus1,Italiae,Obuia deditio totius Italiae !,Italia,urn:cite:perseus:latlexent.lex4141.1,urn:cite:croala:latmorph.morph.4.1,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div3.l12.w4,15978.0,,,,,,,,,,,,,,,,,
estlocus4,Eoas,Rursus ad Eoas continuata domos .,Eous,urn:cite:perseus:latlexent.lex3005.1,urn:cite:croala:latmorph.morph.41.1,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div3.l26.w3,16441.0,,,,,,,,,,,,,,,,,
estlocus4,Eois,Et sese Eois petit integrare triumphis :,Eous,urn:cite:perseus:latlexent.lex3005.1,urn:cite:croala:latmorph.morph.62.1,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div3.l31.w3,16601.0,,,,,,,,,,,,,,,,,
estlocus1,Italiaeque,"Italiaeque tibi propioribus inuidet oris ,",Italia,urn:cite:perseus:latlexent.lex4141.1,urn:cite:croala:latmorph.morph.4.1,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div3.l35.w1,16737.0,,,,,,,,,,,,,,,,,
estlocus2,Adriaci,"Parua uel Adriaci deuouet ora freti ,",Adriacus,urn:cite:croala:latlexent.lex50012.1,urn:cite:croala:latmorph.morph.138.1,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div3.l36.w3,16773.0,,,,,,,,,,,,,,,,,
estlocus1,Francia,Vt pedes oppositas Francia calcet aquas .,Francia,urn:cite:croala:latlexent.lex50014.1,urn:cite:croala:latmorph.morph.6.1,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div3.l40.w4,16913.0,,,,,,,,,,,,,,,,,
estlocus3,Gallos,"Trans freta nanque simul Gallos spectare licebit ,",Galli,urn:cite:perseus:latlexent.lex3371.1,urn:cite:croala:latmorph.morph.27.1,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div3.l41.w5,16949.0,,,,,,,,,,,,,,,,,
estlocus2,Illyriae,"Illyriae tellus reparabitur , obruta surget",Illyria,urn:cite:perseus:latlexent.lex4008.1,urn:cite:croala:latmorph.morph.4.1,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div3.l47.w1,17153.0,,,,,,,,,,,,,,,,,
