estLocus,Nomen,Textus,LEMMA,LEMMA CITE URN,MORPH CITE URN,ANNOTATOR INITIALS,CTS URN,SEQUENCE,,,,,,,,,,,,,,,,,
estlocus1,Aetnam,"Si super undantem flammis ardentibus Aetnam ,",Aetna,urn:cite:perseus:latlexent.lex280.1,urn:cite:croala:latmorph.morph.1.1,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l261.w6,1001724.0,,,,,,,,,,,,,,,,,
estlocus1,Aidonei,Tanta tridentiferi facies erat Aidonei .,LEMMA,LEMMA CITE URN,MORPH CITE URN,ANNOTATOR,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l198.w5,999445.0,,,,,,,,,,,,,,,,,
estlocus1,Alpinis,"Alpinis extracta iugis , ac plaustra rotati rotato",Alpinus,urn:cite:perseus:latlexent.lex434.1,urn:cite:croala:latmorph.morph.80.1,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l185.w1,975839.0,,,,,,,,,,,,,,,,,
estlocus4,Amphitoique,"Amphitoique comis in candida colla solutis ,",LEMMA,LEMMA CITE URN,MORPH CITE URN,ANNOTATOR,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l165.w1,975043.0,,,,,,,,,,,,,,,,,
estlocus4,Amphitrite,Omnia multiparens complectitur amplectitur Amphitrite,LEMMA,LEMMA CITE URN,MORPH CITE URN,ANNOTATOR,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l238.w3,977810.0,,,,,,,,,,,,,,,,,
estlocus1,Andini,Adsitis : sequor Andini uestigia uatis .,Andinus,urn:cite:perseus:latlexent.lex561.1,urn:cite:croala:latmorph.morph.71.1,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l32.w3,969895.0,,,,,,,,,,,,,,,,,
estlocus1,Arar,Sperchius et Arar,Arar,urn:cite:perseus:latlexent.lex756.1,urn:cite:croala:latmorph.morph.13.1,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l219.app.rdg2.w3,977059.0,,,,,,,,,,,,,,,,,
estlocus1,Arcada,Sarcophagi : uolucrem mihi Iuppiter Arcada caelo,LEMMA,LEMMA CITE URN,MORPH CITE URN,ANNOTATOR,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div2.l66.w5,983188.0,,,,,,,,,,,,,,,,,
estlocus1,Arcas,"Et celer annexis uenerat aderat talaribus Arcas ,",LEMMA,LEMMA CITE URN,MORPH CITE URN,ANNOTATOR,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l292.w5,979863.0,,,,,,,,,,,,,,,,,
estlocus1,Arcas,"Elicit hinc manes , hic suffocat suprimit impius Arcas .",LEMMA,LEMMA CITE URN,MORPH CITE URN,ANNOTATOR,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l297.w6,980076.0,,,,,,,,,,,,,,,,,
