urn:cite:croala:latlexent.lex435.1,Sixtus,A personal name.,http://orcid.org/0000-0002-9119-399X,2016-10-09+02:00
urn:cite:croala:latlexent.lex2382.1,Saona,Name of a city in Italy.,http://orcid.org/0000-0002-9119-399X,2016-10-09+02:00
urn:cite:croala:latlexent.lex37963.1,Raxia,"Name of a state in Europe, Serbia.",http://orcid.org/0000-0002-9119-399X,2016-10-09+02:00
urn:cite:croala:latlexent.lex3151.1,Senae,Name of a city in Italy (Umbria).,http://orcid.org/0000-0002-9119-399X,2016-10-09+02:00
urn:cite:croala:latlexent.lex27429.1,Alba,"Name of a city in Hungary, Székesfehérvár.",http://orcid.org/0000-0002-9119-399X,2016-10-09+02:00
urn:cite:croala:latlexent.lex64462.1,Scarvisius,"Name of a river in Hungary, Sárvíz.",http://orcid.org/0000-0002-9119-399X,2016-10-09+02:00
urn:cite:croala:latlexent.lex4145.1,Ticinium,"Name of a city in Italy, Pavia.",http://orcid.org/0000-0002-9119-399X,2016-10-09+02:00
urn:cite:croala:latlexent.lex14928.1,Taruixium,"Name of a city in Italy, Treviso.",http://orcid.org/0000-0002-9119-399X,2016-10-09+02:00
urn:cite:croala:latlexent.lex61489.1,Valdanus,"Name of a river in Europe, Una.",http://orcid.org/0000-0002-9119-399X,2016-10-09+02:00
urn:cite:croala:latlexent.lex4171.1,Venetiae,"Name of a city in Italy, Venezia.",http://orcid.org/0000-0002-9119-399X,2016-10-09+02:00
urn:cite:croala:latlexent.lex25611.1,Vianna,"Name of a city in Europe, Vienna.",http://orcid.org/0000-0002-9119-399X,2016-10-09+02:00
urn:cite:croala:latlexent.lex4108.1,Vicheria,"Name of a city in Italy, Voghera.",http://orcid.org/0000-0002-9119-399X,2016-10-09+02:00
urn:cite:croala:latlexent.lex77221.1,Visegradum,"Name of a city in Bohemia, Vyšehrad.",http://orcid.org/0000-0002-9119-399X,2016-10-09+02:00
