estLocus,Nomen,Textus,LEMMA,AETATIS CITE URN,ANNOTATOR INITIALS,CTS URN,SEQUENCE
estlocus1,Tartara,Quod statuit ferri ipsa sibi sub Tartara munus,Tartarus,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div2.l124.w7,985184
estlocus1,Tartarei,Tartarei : hanc longo suspendit porticus arcu,Tartareus,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div2.l141.w1,985741
estlocus4,Ditis,Ditis,Dis,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div2.l145.app.rdg2.w,985919
estlocus1,Stygias,Quo Stygias prostratus aquas custodit et alta,Stygius,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div2.l149.w2,986061
estlocus1,Nemeaeo,Nudatumque clepit Nemeaeo tegmine corpus,Nemeaeus,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div2.l160.w3,986424
estlocus4,Ditis,Ille fuga uersus petit alta sedilia Ditis .,Dis,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div2.l165.w7,986589
estlocus1,Chaonius,Vt quum Chaonius quondam latrator euntis,Chaonius,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div2.l166.w3,986610
estlocus1,Stygii,Quum Iouis ante thronum Stygii collabitur atque,Stygius,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div2.l176.w5,986936
estlocus1,Maurum,"Implicat , Assacheus ueluti draco sanguine Maurum",Mauri,00000,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div2.l180.w6,987060
estlocus1,Stygias,Et Stygias seruare domos dedit arbiter Orci .,Stigius,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div2.l186.w2,987258
estlocus4,Orci,Et Stygias seruare domos dedit arbiter Orci .,Orcus,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div2.l186.w7,987278
estlocus1,Acheronte,"Pressa Acheronte truci , quae proelia uoce cieret",Acheron,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div2.l188.w2,987324
estlocus1,Stygii,"Inflauit , Stygii quo protinus ardua regni",Stygius,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div2.l191.w2,987431
estlocus1,Elysium,"Sensit et Elysium longe nemus , audiit omnis",Elysium,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div2.l193.w3,987493
estlocus1,Aetnam,Pluto gerat uetitisque petat procursibus Aetnam .,Aetna,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div2.l200.w6,987736
estlocus1,Cantabria,"Pectora turbabat , ueluti Cantabria cautes",Cantaber,00000,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div2.l202.w4,987794
estlocus4,Oceani,"Oceani , scopulis sed firma sonantibus haeret",Oceanus,00000,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div2.l204.w1,987836
estlocus4,Erebi,""" O mihi bellorum comites , Erebi effera proles ,",Erebus,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div2.l227.w5,988619
estlocus1,Inarimes,Inarimes quique Enceladum subiecimus Aetnae,Inarime,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div2.l232.w1,988768
estlocus1,Aetnae,Inarimes quique Enceladum subiecimus Aetnae,Aetna,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div2.l232.w5,988784
estlocus1,Phlegraea,Atque tot anguipedes Phlegraea ualle Gigantas,Phlegraeus,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div2.l233.w4,988805
estlocus1,Ossa,Fulmine et excussa lapsos obtriuimus Ossa .,Ossa,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div2.l234.w6,988842
estlocus1,Stygia,Scilicet ignaui Stygia torpebimus aula,Stygius,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div2.l240.w3,989072
estlocus1,Auerni,Nunc igitur ne fama prior neu clarus Auerni,Avernus,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div2.l245.w8,989249
estlocus1,Olympum,Fert quaeque aetherium subter nascuntur Olympum !,Olympus,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div2.l249.w6,989381
estlocus1,Cocyti,Sed neque Cocyti nox importuna nec Orci,Cocytus,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div2.l257.w3,989645
estlocus4,Orci,Sed neque Cocyti nox importuna nec Orci,Orcus,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div2.l257.w7,989661
estlocus4,Orcus,Iamque nouem uenit quo cingitur orbibus Orcus,Orcus,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div2.l263.w7,989859
estlocus4,Ditis,Clamosumque forum nigram stat Ditis ad aulam,Dis,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div2.l264.w5,989884
estlocus1,Gnosius,Gnosius et residens celsa quaesitor in arce,Gnosius,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div2.l265.w1,989901
estlocus1,Olympi,"Quis deus haec superi praedicere posset Olympi ,",Olympus,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div2.l271.w7,990151
estlocus1,Stygiae,Thaesea quom Stygiae uinctum duxere cateruae ;,Stygius,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div2.l281.w3,990489
estlocus1,Gnosiaci,Me quoque Gnosiaci qui quaesitoris acerbum,Gnosiacus,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div2.l283.w3,990555
estlocus1,Tartareis,Eripe Tartareis miserandum Thaesea uinclis !,Tartareus,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div2.l286.w2,990650
estlocus1,Olympum,"Scandit ad aetherium tecum sublimis Olympum . """,Olympus,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div2.l290.w6,990814
estlocus1,Auernus,"Iam pridem cupio , nec me crassator Auernus",Avernus,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div2.l298.w7,991102
estlocus4,Orcus,"Cingitur Orcus inops , quid claudit machina tanta ? """,Orcus,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div2.l303.w2,991275
estlocus1,Phlegyae,Quoi Phlegyae genus inuiso de sanguine Martis :,LEMMA,,ANNOTATOR,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div2.l304.w2,991320
estlocus1,Idalio,Idalio saltu : hic miseros amor urit amantes .,Idalium,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div2.l318.w1,991754
estlocus1,Lapitum,""" Rex Lapitum , armisoni proles a sanguine Martis ,",LEMMA,,ANNOTATOR,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div2.l331.w2,992219
estlocus1,Tartareum,Tantane Tartareum tenet inclaementia regem ?,Tartareus,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div2.l334.w2,992326
estlocus1,RACVSAEI,IACOBI BONI RACVSAEI CHRISTI SVB FIGVRA HERCVLIS PRAELVDIVM DEDICATVM LEONI X PONT. MAX. LIBER TERTIVS : EVPHROSYNA,LEMMA,,ANNOTATOR,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.head.w3,992543
estlocus1,Olympi,""" Principio architenens excelsi rector Olympi ,",Olympus,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l1.w5,992624
estlocus4,Orcum,"Alter monstrat iter , caligantem alter ad Orcum .",Orcus,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l13.w7,993064
estlocus1,Olympo,Ignaros homines a summo auertit Olympo,Olympus,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l19.w6,993270
estlocus1,Acheronte,Impius ex atro sontes Acheronte satelles,Acheron,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l25.w5,993480
estlocus1,Stygios,Tramitibus uariis Stygios merguntur in ignes .,Stygius,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l38.w3,993925
estlocus4,Dictaei,Dictaei fratres saeuas Acherontis habenas,Dictaeus,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l43.w1,994094
estlocus1,Acherontis,Dictaei fratres saeuas Acherontis habenas,Acheron,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l43.w4,994106
estlocus4,Ditis,Imperiumque tenent umbrarum atque impia Ditis,Dis,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l44.w6,994139
estlocus1,Europae,"Aeacus Europae gentes , Rhadamantus Eoas",Europa,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l46.w2,994189
estlocus1,Eoas,"Aeacus Europae gentes , Rhadamantus Eoas",LEMMA,,ANNOTATOR,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l46.w5,994205
estlocus1,Asiam,"Iudicat atque Asiam magnam , peccataque Minos",Asia,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l47.w3,994222
estlocus1,Phlegeton,"En quae castra uomit Phlegeton , quod Tartarus agmen",Phlegethon,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l64.w5,994779
estlocus1,Tartarus,"En quae castra uomit Phlegeton , quod Tartarus agmen",Tartarus,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l64.w7,994791
estlocus1,Phlegyda,""" O Phlegyda "" , Alcides inquit , "" quid tanta gerat uis ? """,LEMMA,,ANNOTATOR,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l66.w2,994857
estlocus1,Stygiae,Et Stygiae dant signa canes . Quis nube cruenta,Stygius,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l68.w2,994943
estlocus4,Orcum,Ductor erat ? Quo tanta lues inuaserit Orcum,Orcus,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l69.w7,995008
estlocus4,Pimplea,Diua mihi Pimplea refer ! - - - Dux agmine Pluto,Pimpleus,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l70.w3,995025
estlocus1,Tartareis,Tempora Tartareis ardentque in uertice cristae .,Tartareus,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l73.w2,995132
estlocus1,Acherontis,Mille deos Acherontis agit . Hinc arduus instat,Acheron,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l76.w3,995243
estlocus1,Laeuiathan,"Laeuiathan , crines flauos arrectaque pulchrae",LEMMA,,ANNOTATOR,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l77.w1,995272
estlocus1,Olympo,"Aetherii , diuos summo formauit Olympo .",Olympus,09901,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l86.w5,995605
estlocus4,Luna,Nondum Luna nothos agitabat candida currus,Luna,09901,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l87.w2,995622
estlocus1,Puniceo,Puniceo ille Satan surgebat Lucifer ortu .,LEMMA,,ANNOTATOR,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l89.w1,995684
estlocus1,Olympo,"Et summi mens alta dei , quo maior Olympo",Olympus,09901,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l92.w8,995819
estlocus1,Olympi,"Sustollam super astra deoque aequabor Olympi . """,Olympus,09901,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l104.w6,996215
estlocus1,Acheronta,Aera per tenuem praeceps Acheronta sub imum,Acheron,09901,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l111.w5,996450
estlocus4,Orcus,"Quos rabies aeterna tenet , quos Orcus et aer",Orcus,09901,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l113.w6,996520
estlocus1,Stygii,Postquam autem Stygii tempestas atra tyranni,Stygius,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l115.w3,996586
estlocus1,Perrhebi,Qualis Apollineo Perrhebi uertice Pindi,Perrhebus,00000,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l120.w3,996751
estlocus1,Pindi,Qualis Apollineo Perrhebi uertice Pindi,Pindus,00000,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l120.w5,996759
estlocus1,Nesti,Quum leo descendit poturus flumina Nesti,Nestus,00000,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l121.w6,996788
estlocus4,Acheloe,"Seu fontes , Acheloe , tuos , si conspicit arma",Achelous,00000,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l122.w3,996809
estlocus1,Getas,"Bellaces inferre Getas , fremit arduus , armi",Getae,00000,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l123.w3,996850
estlocus4,Dis,"Dis pater , ignitis produnt quae faucibus alta",LEMMA,,ANNOTATOR,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l128.w1,997035
estlocus1,Taenara,"Taenara et Aetnaeis torrens Vulcanus ab antris ,",Taenarum,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l129.w1,997072
estlocus1,Aetnaeis,"Taenara et Aetnaeis torrens Vulcanus ab antris ,",Aetnaeus,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l129.w3,997080
estlocus4,Vulcanus,"Taenara et Aetnaeis torrens Vulcanus ab antris ,",LEMMA,,ANNOTATOR,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l129.w5,997088
estlocus4,Orci,Faucibus e mediis mediisque ex ignibus Orci,Orcus,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l142.w7,997509
estlocus1,Tartareas,Tartareas audere et contra daemonas omnes .,Tartareus,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l144.w1,997543
estlocus1,Stygii,Tunc ambage noua Stygii timor iraque mentem,Stygius,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l145.w4,997588
estlocus4,Diti,"Alcidae magni , Diti quoque cognita summi",LEMMA,,ANNOTATOR,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l150.w3,997745
estlocus1,Infernaeque,"Infernaeque domus , quo tempore matris ab aluo",LEMMA,,ANNOTATOR,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l154.w1,997849
estlocus1,Olympi,Prodiit et uenit dii sub lumen Olympi .,Olympus,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l155.w7,997910
estlocus4,Pylium,Praeterea Pylium nec adhuc aboleuerat ulcus,Pylius,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l156.w2,997927
estlocus1,Acherontis,Herculis aufugit moestas Acherontis in aedes .,Acheron,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l160.w4,998063
estlocus1,Tegeaeus,"Nec Tegeaeus Aper , nec quos puer enecat angues",Tegeaeus,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l170.w2,998437
estlocus4,Orco,Scilicet in terris meruit . Non protinus Orco,Orcus,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l173.w7,998568
estlocus1,Sami,Nam regina Sami partu sub uentre retento,Samus,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l181.w3,998836
estlocus1,Bistonio,"Te quoque Bistonio qui quadrupedante superbis ,",LEMMA,,ANNOTATOR,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l185.w3,998980
estlocus1,Pergameis,Cuspide Pergameis perfodit lancea campis .,Pergameus,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l187.w2,999038
estlocus4,Cypria,"Cypria diua , geris candenti in corpore uulnus . """,Cyprius,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l189.w1,999100
estlocus4,Ditis,"Ardescunt animi Ditis , procul exulat omnis",LEMMA,,ANNOTATOR,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l191.w3,999190
estlocus1,Olympus,"Quantus Olympus , Athos quantus , uel nubifer Atlas",Olympus,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l194.w2,999289
estlocus1,Athos,"Quantus Olympus , Athos quantus , uel nubifer Atlas",Athos,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l194.w3,999297
estlocus4,Atlas,"Quantus Olympus , Athos quantus , uel nubifer Atlas",Atlas,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l194.w7,999317
estlocus1,Caucasei,"Quantaque Caucasei dorsi iuga , quanta Pachinni",Caucasus,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l196.w2,999367
estlocus1,Pachinni,"Quantaque Caucasei dorsi iuga , quanta Pachinni",Pachynum,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l196.w6,999387
estlocus1,Idaea,Et quantis Idaea iugis se Gargara tollunt,Idaeus,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l197.w3,999404
estlocus1,Gargara,Et quantis Idaea iugis se Gargara tollunt,Gargara,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l197.w6,999416
estlocus1,Aidonei,Tanta tridentiferi facies erat Aidonei .,LEMMA,,ANNOTATOR,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l198.w5,999445
estlocus1,Styx,"Styx tacet atra palus , mutescunt triste sonantis",Styx,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l203.w1,999602
estlocus1,Acherontis,"Pallentes Acherontis aquae , silet igneus amnis",Acheron,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l204.w2,999643
estlocus1,Cocyte,"Et ripis , Cocyte , tuis graue labile flumen .",Cocytus,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l205.w3,999684
estlocus4,Erebi,Deinde deos Erebi precibus compellat amicis :,Erebus,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l206.w3,999725
estlocus4,Chaos,"Ferre nefas , res prima , Chaos , quae rite silendo",LEMMA,,ANNOTATOR,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l209.w5,999860
estlocus4,Erebum,"Magna parens , Erebum medio quae claudis in antro ,",Erebus,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l213.w3,1000004
estlocus1,Phlegeton,"Et Phlegeton et Nox , quam discolor ambit amictus :",Phlegethon,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l214.w2,1000041
estlocus1,Solque,"Solque dator lucis , caeli cor mensque profundi ,",LEMMA,,ANNOTATOR,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l227.w1,1000550
estlocus1,Olympi,"Vos quoque uocales magni Syrenes Olympi ,",Olympus,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l228.w6,1000611
estlocus1,Tartarus,Tartarus et tonitru longe domus alta remugit .,Tartarus,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l237.w1,1000908
estlocus4,Ditis,Ditis ad insultum telique tricuspidis ictum .,Dis,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l240.w1,1001003
estlocus4,Dis,Dis impune putans ad apertos emicat artus,Dis,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l241.w1,1001036
estlocus1,Auerni,Et sonitu tetri domus atra resultat Auerni .,Avernus,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l244.w7,1001163
estlocus4,Orcum,Vertitur acta manu dextra ceu fulmen et Orcum,Orcus,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l247.w8,1001266
estlocus4,Ditem,Excipiuntque graui nutantem uulnere Ditem,Dis,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l250.w5,1001349
estlocus4,Orco,"Mature ut talis discedat pestis ab Orco ! """,Orcus,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l258.w7,1001621
estlocus1,Assyrios,Ac uelut Assyrios saltus aut Syrtica linquens,Assyrius,00000,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l259.w3,1001646
estlocus1,Syrtica,Ac uelut Assyrios saltus aut Syrtica linquens,Syrticus,00000,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l259.w6,1001658
estlocus1,Eoas,"Arua draco siluasue procul cristatus Eoas ,",Eous,00000,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l260.w6,1001691
estlocus1,Aetnam,"Si super undantem flammis ardentibus Aetnam ,",Aetna,00000,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l261.w6,1001724
estlocus4,Orcus,Amphitryoniadae pro munere tradidit Orcus .,Orcus,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l271.w5,1002058
estlocus1,Phlegetontis,Tum specus horrendum et fauces Phlegetontis anheli,Phlegethon,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l272.w6,1002091
estlocus1,Auerni,"Victor adit spoliis et munere laetus Auerni ,",Avernus,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l273.w7,1002128
estlocus1,Stygias,Triplex ergo caput Stygias auersus ad umbras,Stygius,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l279.w4,1002314
estlocus4,Ditis,En tua progenies sacraria Ditis auari,LEMMA,,ANNOTATOR,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l288.w5,1002639
estlocus1,Auernum,"Subiecit uictrixque ferum spoliauit Auernum ,",Avernus,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l289.w5,1002668
estlocus1,Aethiopas,Aethiopas duplices axemque uidebat utrumque .,LEMMA,,ANNOTATOR,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l296.w1,1002891
estlocus1,Methymnaeus,Qua Methymnaeus donaria liquit Arion :,Methymnaeus,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l307.w2,1003254
estlocus1,Ephyrea,Hic Ephyrea ratis Calabro resoluta Tarento,Ephyreus,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l308.w2,1003283
estlocus1,Calabro,Hic Ephyrea ratis Calabro resoluta Tarento,Calaber,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l308.w4,1003291
estlocus1,Tarento,Hic Ephyrea ratis Calabro resoluta Tarento,Tarentum,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l308.w6,1003299
estlocus1,Lesbius,"Tractabant , supplex fundebat Lesbius aurum .",Lesbius,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l311.w4,1003390
estlocus1,Thyrio,Hinc media puppi Thyrio stans lucidus ostro,Thyreum,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l312.w4,1003419
estlocus1,Ephyreas,Parte alia ueniens Ephyreas laetus ad arces,Ephyreus,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l326.w4,1003837
estlocus1,Corinthiaco,Mira Corinthiaco narrabat facta tyranno .,Corinthiacus,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l327.w2,1003862
estlocus1,Stymphalidas,"Aeripedem ceruam , taurum , Stymphalidas , hortos",Stymphalis,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l336.w4,1004171
estlocus1,Hesperidum,"Hesperidum : "" Tu terrigenas , inuicte , Gigantes",Hesperis,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l337.w1,1004188
estlocus1,Troiam,"Deiicis , euertis Troiam , tu Albionas imbre",Troia,09905,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l338.w3,1004241
estlocus1,Rhodani,Ad Rhodani ripas sternis Nessumque latronemque,Rhodanus,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l339.w2,1004270
estlocus1,Nessumque,Ad Rhodani ripas sternis Nessumque latronemque,Nessus,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l339.w5,1004282
estlocus1,Auentinum,"Acer Auentinum , tu templa Lacinia condis .",Aventinus,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l340.w2,1004299
estlocus1,Lacinia,"Acer Auentinum , tu templa Lacinia condis .",Lacinius,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l340.w5,1004315
estlocus4,Atlas,"Atlas obstupuit , te tela trisulca ferentem",Atlas,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l342.w1,1004361
estlocus4,Orci,Coniugis Admeti furuis e sedibus Orci,Orcus,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l344.w6,1004447
estlocus1,Laomedontida,"Aequoreoque rapis tu Laomedontida monstro . """,LEMMA,,ANNOTATOR,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l345.w4,1004468
estlocus1,Cyllenia,Sed lyra iam reticet lassi Cyllenia Phoebi .,Cyllenius,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l347.w6,1004550
estlocus1,Inferna,Inferna Stygium de regione canem .,LEMMA,,ANNOTATOR,urn:cts:croala:bunic02.croala1761880.croala-lat2w:back.app.rdg1.div.l2.w1,1004701
estlocus1,Stygium,Inferna Stygium de regione canem .,Stygius,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:back.app.rdg1.div.l2.w2,1004705
