estLocus,Nomen,Textus,LEMMA,AETATIS CITE URN,ANNOTATOR INITIALS,CTS URN,SEQUENCE
estlocus1,Auerni,Principio ad fauces tetri stabulantur Auerni,Avernus,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l33.w6,969936
estlocus1,Scyllaque,"Scyllaque , Circaeis quoi latrant inguina monstris ,",Scylla,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l35.w1,969982
estlocus1,Parrhasius,"Parrhasius serpens , ignisque erructat eructat ad auras",Parrhasius,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l38.w1,970081
estlocus1,Chimaera,Fumantes horrenda globos terno ore Chimaera .,LEMMA,,ANNOTATOR,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l39.w6,970152
estlocus1,Gerionesque,"Stant prope , Gerionesque triceps procul aufugit hostem ,",LEMMA,,ANNOTATOR,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l42.w3,970239
estlocus1,Acherontis,Acherontis ad amnes,Acheron,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l61.app.rdg1.w1,970861
estlocus1,Acheruntis,Acheruntis ad amnes,Acheruns,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l61.app.rdg2.w1,970878
estlocus1,Acheruntis,Acheruntis ad amnem,Acheruns,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l61.app.rdg3.w1,970895
estlocus1,Stygiae,Iamque propinquabat Stygiae qua portitor undae,Stygius,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l62.w3,970926
estlocus4,Orco,Cernit ibi plures tristi quos miserat Orco :,LEMMA,,ANNOTATOR,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l75.w7,971386
estlocus1,Lapithas,Lapithas,LEMMA,,ANNOTATOR,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l77.app.rdg3.w,971453
estlocus1,Styga,Causabarque deos furto . Mihi per Styga cuncti,Styx,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l97.w6,972338
estlocus1,Mysia,Iurabant nil scire tui . Scit Mysia quantum,Mysia,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l98.w6,972375
estlocus1,Thracius,"Alcide , neque te frater neque Thracius Orpheus",Thracius,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l109.w6,972834
estlocus1,Hellespontiacos,Hellespontiacos portus Argoa carina,Hellespontiacus,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l113.w1,972954
estlocus1,Colchon,"Colchon , et Oethei ducebat Phasydos undas ,",Colchis,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l116.w1,973041
estlocus1,Oethei,"Colchon , et Oethei ducebat Phasydos undas ,",LEMMA,,ANNOTATOR,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l116.w3,973053
estlocus1,Phasydos,"Colchon , et Oethei ducebat Phasydos undas ,",Phasis,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l116.w5,973061
estlocus1,Arethusa,"Candida siccabat madidos Arethusa capillos ,",LEMMA,,ANNOTATOR,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l124.w4,973370
estlocus1,Stygias,"Euentus quibus , heu , Stygias detrusus ad undas",Stygius,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l143.w4,974189
estlocus1,Memphitico,Memphitico pingues e,Memphiticus,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l149.app.rdg2.w1,974423
estlocus1,Hispanam,"Limina , in Hispanam Calpen qua surgit Abyla",Hispanus,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l157.w3,974723
estlocus1,Calpen,"Limina , in Hispanam Calpen qua surgit Abyla",Calpe,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l157.w4,974727
estlocus1,Abyla,"Limina , in Hispanam Calpen qua surgit Abyla",Abyla,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l157.w7,974739
estlocus4,Amphitoique,"Amphitoique comis in candida colla solutis ,",LEMMA,,ANNOTATOR,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l165.w1,975043
estlocus4,Oceani,"Praecipue Oceani thalamos , ipsoque canebat",Oceanus,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l173.w2,975375
estlocus4,Oceano,"Dignum erit Oceano . Ite , citos mihi ducite currus ,",Oceanus,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l179.w3,975589
estlocus1,Delphinas,Delphinas stimulate uagos ! Cristalla ferantur,LEMMA,,ANNOTATOR,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l180.w1,975630
estlocus1,Alpinis,"Alpinis extracta iugis , ac plaustra rotati rotato",Alpinus,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l185.w1,975839
estlocus4,Oceanus,Oceanus magnoque tubae clangore uocabant,Oceanus,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l188.w1,975948
estlocus1,Inda,Qualis ubi in domibus magnis auis Inda puellis,Indus,00000,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l203.w7,976459
estlocus1,Taygetis,Taygetis si quando iugis descendit amantes,Taygetus,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l215.w1,976887
estlocus1,Lacaenis,Virginibus satyros cupiens miscere Lacaenis .,Lacaena,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l216.w5,976932
estlocus1,Strymon,"Immixti nymphis : Strymon , Sperchios , Ilerda , Sperchius et Arar",Strymon,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l219.w3,977015
estlocus1,Sperchios,"Sperchios , Ilerda ,",Spercheos,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l219.app.rdg1.w1,977030
estlocus1,Ilerda,"Sperchios , Ilerda ,",Ilerda,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l219.app.rdg1.w2,977038
estlocus1,Sperchius,Sperchius et Arar,Spercheos,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l219.app.rdg2.w1,977051
estlocus1,Arar,Sperchius et Arar,Arar,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l219.app.rdg2.w3,977059
estlocus1,Lycus,Dillectus que Dilectusque Lycus nymphis et fuluus Oaxis,Lycus,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l220.w1,977100
estlocus1,Oaxis,Dillectus que Dilectusque Lycus nymphis et fuluus Oaxis,Oaxes,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l220.w5,977116
estlocus1,Tybris,Et flauus Tybris cornuque Achelous adempto,Tybris,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l221.w3,977133
estlocus4,Achelous,Et flauus Tybris cornuque Achelous adempto,Achelous,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l221.w5,977141
estlocus1,Nilus,Et septemgeminus secreto Nilus ab ortu,Nilus,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l222.w4,977166
estlocus1,Tagus,"Auratoque Tagus uultu Rhodanusque bicornis ,",Tagus,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l223.w2,977187
estlocus1,Rhodanusque,"Auratoque Tagus uultu Rhodanusque bicornis ,",Rhodanus,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l223.w4,977195
estlocus1,Dalmaticus,"Dalmaticus Naron , Phasis Phrygiusque Caycus ,",Dalmaticus,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l225.w1,977263
estlocus1,Naron,"Dalmaticus Naron , Phasis Phrygiusque Caycus ,",Naro,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l225.w2,977267
estlocus1,Phasis,"Dalmaticus Naron , Phasis Phrygiusque Caycus ,",Phasis,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l225.w3,977275
estlocus1,Phrygiusque,"Dalmaticus Naron , Phasis Phrygiusque Caycus ,",Phrygius,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l225.w4,977279
estlocus1,Caycus,"Dalmaticus Naron , Phasis Phrygiusque Caycus ,",Caycus,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l225.w5,977283
estlocus1,Eurotas,Laurifer Eurotas et nigro excussus ab Orco,Eurotas,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l226.w2,977300
estlocus4,Orco,Laurifer Eurotas et nigro excussus ab Orco,Orcus,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l226.w7,977320
estlocus1,Eridanus,"Corniger Eridanus , Liparis , Moedusque Nyphates",Eridanus,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l227.w2,977333
estlocus1,Liparis,"Corniger Eridanus , Liparis , Moedusque Nyphates",Liparis,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l227.w3,977341
estlocus1,Moedusque,"Corniger Eridanus , Liparis , Moedusque Nyphates",LEMMA,,ANNOTATOR,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l227.w4,977349
estlocus1,Nyphates,"Corniger Eridanus , Liparis , Moedusque Nyphates",Niphates,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l227.w5,977353
estlocus1,Smyrneusque,Smyrneusque Meles et multo Marte notatus,Smyrneus,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l228.w1,977362
estlocus1,Meles,Smyrneusque Meles et multo Marte notatus,Meles,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l228.w2,977366
estlocus1,Ister,Ister et Illyrico ueniens a littore Narbon .,Ister,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l229.w1,977391
estlocus1,Illyrico,Ister et Illyrico ueniens a littore Narbon .,Illyricus,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l229.w3,977399
estlocus1,Narbon,Ister et Illyrico ueniens a littore Narbon .,Narbo,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l229.w7,977415
estlocus4,Amphitrite,Omnia multiparens complectitur amplectitur Amphitrite,LEMMA,,ANNOTATOR,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l238.w3,977810
estlocus1,Acheronte,Et quanquam sese quod saeuo Acheronte manebat,Acheron,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l253.w6,978293
estlocus1,Troianus,""" Foelix Troianus Phrygia uenator ab Ida """,Troianus,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l259.w2,978475
estlocus1,Phrygia,""" Foelix Troianus Phrygia uenator ab Ida """,Phrygius,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l259.w3,978479
estlocus1,Ida,""" Foelix Troianus Phrygia uenator ab Ida """,Ida,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l259.w6,978491
estlocus1,Dardana,"Mox ait , "" ad caelum raptus , quoi Dardana pubes",Dardanus,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l260.w7,978540
estlocus1,Phrygiis,"Foelix ille puer Phrygiis in montibus Atys ,",Phrygius,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l262.w4,978602
estlocus1,Gallae,Atque leues Gallae et furibundae sacra Cybelles .,LEMMA,,ANNOTATOR,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l264.w3,978664
estlocus1,Stygias,"Heu , nimium infoelix - - - Stygias inhumatus arenas",Stygius,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l266.w4,978766
estlocus4,Oceanum,Oceanum terras magnis discumbere mensis,Oceanus,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l274.w1,979103
estlocus1,Aethiopum,Regna per Aethiopum . - - - Postquam genitoris adiuit,Aethiopus,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l275.w3,979136
estlocus4,Oceanum,"Oceanum mentemque Iouis cum coniuge saeua ,",Oceanus,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l280.w1,979309
estlocus4,Latona,"Quae prolem , Latona , tuam stridente sub ipsis",LEMMA,,ANNOTATOR,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l283.w3,979436
estlocus1,Thraces,Thraces equi et Veneris niuei pascuntur olores ;,Thrax,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l285.w1,979506
