citebody,label,uri,creator,datecreated
aetas01101,"Biblical mythology 1: from Creation (Adam), to the Flood, to Abraham",http://croala.ffzg.unizg.hr/basex/aetates/urn:cite:croala:aetates.aetas1101,http://orcid.org/0000-0002-9119-399X,2016-11-25
aetas01102,"Biblical mythology 2: Abraham, Isaac and Jacob",http://croala.ffzg.unizg.hr/basex/aetates/urn:cite:croala:aetates.aetas1101,http://orcid.org/0000-0002-9119-399X,2016-11-25
aetas01103,"Biblical mythology 3: Israel in Egypt",http://croala.ffzg.unizg.hr/basex/aetates/urn:cite:croala:aetates.aetas1102,http://orcid.org/0000-0001-5515-6545,2016-11-21
aetas01104,"Biblical mythology 4: Exodus to Solomon",http://croala.ffzg.unizg.hr/basex/aetates/urn:cite:croala:aetates.aetas1103,http://orcid.org/0000-0001-5515-6545,2016-11-21
aetas01105,"Biblical mythology 5: from the foundation of the Temple in Solomon's fourth year to its destruction",http://croala.ffzg.unizg.hr/basex/aetates/urn:cite:croala:aetates.aetas1104,http://orcid.org/0000-0001-5515-6545,2016-11-21

