estLocus,Nomen,Textus,URN
estlocus0,Alcides,Alcides imo suspiria corde trahebat,bunic02.croala1761880.croala-lat2w:body.div1.l249.w1
estlocus0,Alcides,"Iuppiter Alcides , Saturnia regna redirent .",bunic02.croala1761880.croala-lat2w:body.div2.l62.w2
estlocus0,Alcides,Proripit Alcides Stygiae se ad stagna paludis .,bunic02.croala1761880.croala-lat2w:body.div2.l71.w2
estlocus0,Alcides,"Alcides postquam ripa ulteriore potitus ,",bunic02.croala1761880.croala-lat2w:body.div2.l137.w1
estlocus0,Alcides,Indomitus stetit Alcides formidinis expers,bunic02.croala1761880.croala-lat2w:body.div2.l159.w3
estlocus0,Alcides,"Iam penes Alcides aderat , iam terga premebat",bunic02.croala1761880.croala-lat2w:body.div2.l174.w3
estlocus0,Alcides,At non Alcides ullis perterrita monstris,bunic02.croala1761880.croala-lat2w:body.div2.l201.w3
estlocus0,Alcides,""" O Phlegyda "" , Alcides inquit , "" quid tanta gerat uis ? """,bunic02.croala1761880.croala-lat2w:body.div3.l66.w3
estlocus0,Alcides,Haec ait . Alcides iam dudum inuadere pugnam,bunic02.croala1761880.croala-lat2w:body.div3.l219.w3
estlocus0,Alcides,Alcides multa pollens ui et Palladis arte,bunic02.croala1761880.croala-lat2w:body.div3.l238.w1
estlocus0,Alcides,Quum uero Alcides iucundas luminis oras,bunic02.croala1761880.croala-lat2w:body.div3.l283.w3
estlocus0,Alcides,"Alcides , in quo uirtus tua sancta refulsit .",bunic02.croala1761880.croala-lat2w:body.div3.l291.w1
estlocus0,Alcides,Tum deus Alcides ob durum iter atque laborem,bunic02.croala1761880.croala-lat2w:body.div3.l297.w3
estlocus0,Alcides,Viribus Alcides superas educit ad auras,bunic02.croala1761880.croala-lat2w:back.app.rdg1.div.l1.w2
estlocus0,Alcmenae,Et uidet Alcmenae et Iouis omnipotentis alumnum,bunic02.croala1761880.croala-lat2w:body.div3.l141.w3
estlocus0,Alecto,"Peruigil Alecto semper custodit , at illas",bunic02.croala1761880.croala-lat2w:body.div2.l316.w2
estlocus0,Alma,Alma quibus uehitur diuum Berecynthia mater .,bunic02.croala1761880.croala-lat2w:body.div1.l289.w1
estlocus0,Alme,""" Alme pater mundi , solio qui promis ab alto",bunic02.croala1761880.croala-lat2w:body.div3.l286.w1
estlocus1,Alpinis,"Alpinis extracta iugis , ac plaustra rotatirotato",bunic02.croala1761880.croala-lat2w:body.div1.l185.w1
estlocus0,Amatis,"Atque Thoi atque Amatis atque aurea Gallianira ,",bunic02.croala1761880.croala-lat2w:body.div1.l169.w4
estlocus0,Amazonas,Gessit et inuictis spoliauit Amazonas armis .,bunic02.croala1761880.croala-lat2w:body.div2.l295.w5
estlocus0,Ambrosiasque,"Ambrosiasque dapes , uitreo subtum carcere clausum ,",bunic02.croala1761880.croala-lat2w:body.div1.l202.w1
estlocus0,Amphionis,"Obtestor Phoebi et Dircaei Amphionis urbem ,",bunic02.croala1761880.croala-lat2w:body.div2.l47.w5
estlocus0,Amphitoique,"Amphitoique comis in candida colla solutis ,",bunic02.croala1761880.croala-lat2w:body.div1.l165.w1
estlocus0,Amphitrite,Omnia multiparens complectituramplectitur Amphitrite,bunic02.croala1761880.croala-lat2w:body.div1.l238.w3
estlocus0,Amphitryoniadae,Amphitryoniadae pro munere tradidit Orcus .,bunic02.croala1761880.croala-lat2w:body.div3.l271.w1
estlocus0,Amphitryoniades,Amphitryoniades . Tum lubrica pondere cymba,bunic02.croala1761880.croala-lat2w:body.div2.l134.w1
estlocus0,Amphitryoniades,Amphitryoniades spiris immanibus omnemque,bunic02.croala1761880.croala-lat2w:body.div2.l179.w1
estlocus0,Amphitryoniades,Amphitryoniades aequo sub corde ferendo,bunic02.croala1761880.croala-lat2w:body.div2.l261.w1
estlocus1,Andini,Adsitis : sequor Andini uestigia uatis .,bunic02.croala1761880.croala-lat2w:body.div1.l32.w3
estlocus0,Antheus,"Non equidem Antheus , non armentalis abactor ,",bunic02.croala1761880.croala-lat2w:body.div3.l168.w3
estlocus0,Aper,"Nec Tegeaeus Aper , nec quos puer enecat angues",bunic02.croala1761880.croala-lat2w:body.div3.l170.w3
estlocus0,Apolline,Nec stellis fulsere poli nec Apolline pulchro :,bunic02.croala1761880.croala-lat2w:body.div3.l88.w6
estlocus0,Apolline,Ipseque cum docto certaret Apolline tutus .,bunic02.croala1761880.croala-lat2w:body.div3.l323.w5
estlocus0,Apollinemque,"Formosam faciunt Apollinemque ,",bunic02.croala1761880.croala-lat2w:front.app2.rdg2.div.l3.w3
estlocus0,Apollineo,Qualis Apollineo Perrhebi uertice Pindi,bunic02.croala1761880.croala-lat2w:body.div3.l120.w2
estlocus0,Apollo,Non te ad uulgatum Thymbraee uocamus Apollo,bunic02.croala1761880.croala-lat2w:body.div1.l14.w7
