estLocus,Nomen,Textus,URN
estlocus0,Enceladum,Inarimes quique Enceladum subiecimus Aetnae,bunic02.croala1761880.croala-lat2w:body.div2.l232.w3
estlocus0,Enthea,"Enthea uocali modulantem carmina plectro ,",bunic02.croala1761880.croala-lat2w:body.div1.l11.w1
estlocus0,Eoas,"Aeacus Europae gentes , Rhadamantus Eoas",bunic02.croala1761880.croala-lat2w:body.div3.l46.w5
estlocus1,Eoas,"Arua draco siluasue procul cristatus Eoas ,",bunic02.croala1761880.croala-lat2w:body.div3.l260.w6
estlocus0,Eoo,""" Postera ab Eoo roseis inuecta quadrigis",bunic02.croala1761880.croala-lat2w:body.div2.l1.w3
estlocus1,Ephyrea,Hic Ephyrea ratis Calabro resoluta Tarento,bunic02.croala1761880.croala-lat2w:body.div3.l308.w2
estlocus1,Ephyreas,Parte alia ueniens Ephyreas laetus ad arces,bunic02.croala1761880.croala-lat2w:body.div3.l326.w4
estlocus0,Erebi,Et caligantes Erebi deuenit ad umbras .,bunic02.croala1761880.croala-lat2w:body.div1.l27.w3
estlocus4,Erebi,""" Thracius ad sedes Erebi descendere uates",bunic02.croala1761880.croala-lat2w:body.div2.l109.w4
estlocus4,Erebi,Iussit adire domos Erebi Stygiamque paludem,bunic02.croala1761880.croala-lat2w:body.div2.l115.w4
estlocus4,Erebi,""" O mihi bellorum comites , Erebi effera proles ,",bunic02.croala1761880.croala-lat2w:body.div2.l227.w5
estlocus4,Erebi,Deinde deos Erebi precibus compellat amicis :,bunic02.croala1761880.croala-lat2w:body.div3.l206.w3
estlocus4,Erebo,"Atraque nigrantes Erebo nox intulit alas ,",bunic02.croala1761880.croala-lat2w:body.div2.l4.w3
estlocus4,Erebum,Erebum,bunic02.croala1761880.croala-lat2w:body.div1.l287.app.rdg1.w
estlocus4,Erebum,"Magna parens , Erebum medio quae claudis in antro ,",bunic02.croala1761880.croala-lat2w:body.div3.l213.w3
estlocus1,Eridanus,"Corniger Eridanus , Liparis , Moedusque Nyphates",bunic02.croala1761880.croala-lat2w:body.div1.l227.w2
estlocus0,Euan,"Orgia quom celebrant euantes tygribus "" Euan ! """,bunic02.croala1761880.croala-lat2w:body.div1.l214.w6
estlocus0,Euri,Quum glomerant Euri pluuia impendente sub aethra,bunic02.croala1761880.croala-lat2w:body.div3.l60.w3
estlocus0,Euridicen,Euridicen : chaos antiquum primaeuaque mundi,bunic02.croala1761880.croala-lat2w:body.div2.l97.w1
estlocus0,Euro,Gurgite aristeisaristeisAristaeis Euro spirante Cyrenis .,bunic02.croala1761880.croala-lat2w:body.div1.l72.w2
estlocus1,Europae,"Aeacus Europae gentes , Rhadamantus Eoas",bunic02.croala1761880.croala-lat2w:body.div3.l46.w2
estlocus1,Eurotas,Laurifer Eurotas et nigro excussus ab Orco,bunic02.croala1761880.croala-lat2w:body.div1.l226.w2
estlocus0,Eurysthea,Talibus eductum fatis Eurysthea tinxit .,bunic02.croala1761880.croala-lat2w:body.div3.l182.w4
estlocus0,Fames,Et miseranda Fames humilique infirma grabato,bunic02.croala1761880.croala-lat2w:body.div1.l51.w3
estlocus0,Fas,Fas Phlegetonte tenet placidoque in flumine Laethes,bunic02.croala1761880.croala-lat2w:body.div1.l296.w1
estlocus0,Fas,Fas mihi sit patrui sedes inuisere Ditis ? !,bunic02.croala1761880.croala-lat2w:body.div2.l113.w1
estlocus0,Fortuna,"It Fortuna comes , fert tela tricuspida daemon",bunic02.croala1761880.croala-lat2w:body.div3.l81.w2
estlocus0,Furiis,"Sed Furiis commota canam noua proelia , namque",bunic02.croala1761880.croala-lat2w:body.div1.l20.w2
estlocus0,Furiis,Ipse uelut Furiis praeceps agitatus adibam,bunic02.croala1761880.croala-lat2w:body.div1.l95.w3
estlocus0,Furiis,"Haec ubi desierat , Furiis atque acribus iris",bunic02.croala1761880.croala-lat2w:body.div3.l190.w4
estlocus0,Furiis,Aegrescuntque acti Furiis mussantque dolore,bunic02.croala1761880.croala-lat2w:body.div3.l251.w3
estlocus0,Furuius,Furuius,bunic02.croala1761880.croala-lat2w:body.div1.l68.app.rdg2.w
estlocus0,Gallae,Atque leues Gallae et furibundae sacra Cybelles .,bunic02.croala1761880.croala-lat2w:body.div1.l264.w3
estlocus0,Gallianira,"Atque Thoi atque Amatis atque aurea Gallianira ,",bunic02.croala1761880.croala-lat2w:body.div1.l169.w7
estlocus0,Ganymede,Sublatum spretouesocioque Patrem Ganymede potitum,bunic02.croala1761880.croala-lat2w:body.div1.l89.w3
estlocus1,Gargara,Et quantis Idaea iugis se Gargara tollunt,bunic02.croala1761880.croala-lat2w:body.div3.l197.w6
estlocus0,Garrulitate,Garrulitate lyrae fretus cantuque loquaci,bunic02.croala1761880.croala-lat2w:body.div2.l111.w1
estlocus0,Gaudia,"Funera , nec longe fugientia Gaudia distant ,",bunic02.croala1761880.croala-lat2w:body.div1.l45.w5
estlocus0,Gemitus,"Sternunturque toris Gemitus , infaustaque lugent",bunic02.croala1761880.croala-lat2w:body.div1.l44.w3
estlocus0,Gerionesque,"Stant prope , Gerionesque triceps procul aufugit hostem ,",bunic02.croala1761880.croala-lat2w:body.div1.l42.w3
estlocus0,Germanosque,Germanosque Ioues diuisaque regna canebat .,bunic02.croala1761880.croala-lat2w:body.div2.l99.w1
estlocus1,Getas,"Bellaces inferre Getas , fremit arduus , armi",bunic02.croala1761880.croala-lat2w:body.div3.l123.w3
estlocus0,Gigantas,Atque tot anguipedes Phlegraea ualle Gigantas,bunic02.croala1761880.croala-lat2w:body.div2.l233.w6
estlocus0,Gigantes,"Hesperidum : "" Tu terrigenas , inuicte , Gigantes",bunic02.croala1761880.croala-lat2w:body.div3.l337.w5
estlocus0,Gigantum,Carmen et ad dictas acies . Quis namque Gigantum,bunic02.croala1761880.croala-lat2w:body.div1.l15.w8
estlocus0,Glaucis,Tresque simul iuuenes : Glaucis nitidisque Pherusa,bunic02.croala1761880.croala-lat2w:body.div1.l197.w4
estlocus1,Gnosiaci,Me quoque Gnosiaci qui quaesitoris acerbum,bunic02.croala1761880.croala-lat2w:body.div2.l283.w3
estlocus1,Gnosius,Gnosius et residens celsa quaesitor in arce,bunic02.croala1761880.croala-lat2w:body.div2.l265.w1
estlocus0,Gorgoneis,Exin Gorgoneis serpentibus hirta Megaera,bunic02.croala1761880.croala-lat2w:body.div3.l67.w2
estlocus0,Gorgonis,""" Summe pater rerum , uacua qui Gorgonis aluo",bunic02.croala1761880.croala-lat2w:body.div3.l207.w6
estlocus0,Gradiue,"Armipotens Gradiue pater , Diomedis acuta",bunic02.croala1761880.croala-lat2w:body.div3.l186.w2
estlocus0,Gradive,"Marmore quadriiugis . Et te , Gradive , tulerunt",bunic02.croala1761880.croala-lat2w:body.div1.l284.w5
estlocus0,Gratia,"Cur mea dicta Charis , cur Gratia Musa uocata est ?",bunic02.croala1761880.croala-lat2w:front.app1.rdg1.div.l1.w6
estlocus0,Gratia,"Quod charis , et totum hoc Gratia condit opus .",bunic02.croala1761880.croala-lat2w:front.app1.rdg1.div.l2.w6
estlocus0,Harpyiaeque,Exequar ? Harpyiaeque et Phorcidos umbra Medusae,bunic02.croala1761880.croala-lat2w:body.div1.l41.w2
estlocus4,Helicona,"Adsis , o Helicona tuens Iouis alma propago ,",bunic02.croala1761880.croala-lat2w:body.div1.l7.w3
estlocus1,Hellespontiacos,Hellespontiacos portus Argoa carina,bunic02.croala1761880.croala-lat2w:body.div1.l113.w1
estlocus0,Herculea,"Qui Christum Herculea canunt figura ,",bunic02.croala1761880.croala-lat2w:front.app2.rdg2.div.l6.app.rdg2.w3
estlocus0,Herculeae,Versibus Herculeae par est Iacobus arenae,bunic02.croala1761880.croala-lat2w:back.app.rdg1.div.l3.w2
estlocus0,Herculeas,Herculeas super astra ferunt : ut fata nouercae,bunic02.croala1761880.croala-lat2w:body.div3.l334.w1
estlocus0,Herculeum,Et dono Herculeum damus laborem :,bunic02.croala1761880.croala-lat2w:front.app2.rdg2.div.l11.app.rdg1.w3
estlocus0,Herculis,"Consererent , magni timuerunt Herculis iras .",bunic02.croala1761880.croala-lat2w:body.div2.l216.w4
estlocus0,Herculis,Herculis aufugit moestas Acherontis in aedes .,bunic02.croala1761880.croala-lat2w:body.div3.l160.w1
estlocus0,Herculis,"Respondit Pluto : "" Magni uis Herculis ingens",bunic02.croala1761880.croala-lat2w:body.div3.l254.w5
estlocus1,Hesperidum,"Hesperidum : "" Tu terrigenas , inuicte , Gigantes",bunic02.croala1761880.croala-lat2w:body.div3.l337.w1
estlocus1,Hispanam,"Limina , in Hispanam Calpen qua surgit Abyla",bunic02.croala1761880.croala-lat2w:body.div1.l157.w3
estlocus0,Hyla,"Et te cernit , Hyla puer : "" O Hyla "" , ipse repente ,",bunic02.croala1761880.croala-lat2w:body.div1.l80.w4
estlocus0,Hyla,"Et te cernit , Hyla puer : "" O Hyla "" , ipse repente ,",bunic02.croala1761880.croala-lat2w:body.div1.l80.w7
estlocus0,Hylaeumque,Hylaeumque,bunic02.croala1761880.croala-lat2w:body.div1.l78.app.rdg2.w
estlocus0,Hylas,Tunc tristis laetatus Hylas stetit Hercule uiso,bunic02.croala1761880.croala-lat2w:body.div1.l107.w4
estlocus0,Hylas,At multum miserandus Hylas male cognita ponti,bunic02.croala1761880.croala-lat2w:body.div1.l256.w4
estlocus0,Hylas,Talia fatus Hylas ac talia clauiger heros,bunic02.croala1761880.croala-lat2w:body.div2.l56.w3
estlocus0,Hylas,His dictis gauisus Hylas magnamque recoepit,bunic02.croala1761880.croala-lat2w:body.div2.l69.w4
estlocus0,Hymenaee,"O Hymenaee , tibi magno pulcherrima Nereo",bunic02.croala1761880.croala-lat2w:body.div1.l159.w2
estlocus0,Iacchi,"Non hymenaeei turpis bellator Iacchi ,",bunic02.croala1761880.croala-lat2w:body.div3.l169.w5
estlocus0,Iaccho,Corytus calamique leues et thyrsus Iaccho ;,bunic02.croala1761880.croala-lat2w:body.div2.l120.w6
estlocus0,Ianiraque,"Apseudisque Ianiraque et hispida corpore Meni ,",bunic02.croala1761880.croala-lat2w:body.div1.l195.w2
estlocus0,Ianitor,"Ianitor et moesto mors inuitabilis arcu ,",bunic02.croala1761880.croala-lat2w:body.div2.l258.w1
estlocus0,Iason,"Quum tot onusta deum genitis intrarat , Iason",bunic02.croala1761880.croala-lat2w:body.div1.l114.w7
estlocus1,Ida,""" Foelix Troianus Phrygia uenator ab Ida """,bunic02.croala1761880.croala-lat2w:body.div1.l259.w6
estlocus1,Idaea,Et quantis Idaea iugis se Gargara tollunt,bunic02.croala1761880.croala-lat2w:body.div3.l197.w3
estlocus1,Idalii,Siluas Idalii et nemus Cytheri,bunic02.croala1761880.croala-lat2w:front.app2.rdg2.div.l2.w2
estlocus1,Idalio,Idalio saltu : hic miseros amor urit amantes .,bunic02.croala1761880.croala-lat2w:body.div2.l318.w1
estlocus0,Ieraque,Protoque Meliteque TaliaqueThaliaque DotoqueDoto Ieraque,bunic02.croala1761880.croala-lat2w:body.div1.l164.w3
estlocus1,Ilerda,"Sperchios , Ilerda ,",bunic02.croala1761880.croala-lat2w:body.div1.l219.app.rdg1.w2
estlocus1,Illyrico,Ister et Illyrico ueniens a littore Narbon .,bunic02.croala1761880.croala-lat2w:body.div1.l229.w3
estlocus1,Inarimes,Inarimes quique Enceladum subiecimus Aetnae,bunic02.croala1761880.croala-lat2w:body.div2.l232.w1
estlocus1,Inda,Qualis ubi in domibus magnis auis Inda puellis,bunic02.croala1761880.croala-lat2w:body.div1.l203.w7
estlocus0,Indigenae,"Indigenae , qui facta canunt et carmine laudes",bunic02.croala1761880.croala-lat2w:body.div3.l333.w1
estlocus4,Inferna,Inferna Stygium de regione canem .,bunic02.croala1761880.croala-lat2w:back.app.rdg1.div.l2.w1
estlocus4,Infernaeque,"Infernaeque domus , quo tempore matris ab aluo",bunic02.croala1761880.croala-lat2w:body.div3.l154.w1
estlocus0,Iouem,Quae magnum uexere Iouem rerumque parentem,bunic02.croala1761880.croala-lat2w:body.div1.l279.w4
estlocus0,Ioues,Germanosque Ioues diuisaque regna canebat .,bunic02.croala1761880.croala-lat2w:body.div2.l99.w2
estlocus0,Ioui,"Tela trisulca Ioui , Neptuno fuscina , Phoebo",bunic02.croala1761880.croala-lat2w:body.div2.l119.w3
estlocus0,Iouis,"Regna Iouis soliumque canam , quo clauiger heros",bunic02.croala1761880.croala-lat2w:body.div1.l2.w2
estlocus0,Iouis,"Adsis , o Helicona tuens Iouis alma propago ,",bunic02.croala1761880.croala-lat2w:body.div1.l7.w5
estlocus0,Iouis,"Oceanum mentemque Iouis cum coniuge saeua ,",bunic02.croala1761880.croala-lat2w:body.div1.l280.w3
estlocus0,Iouis,Quum Iouis ante thronum Stygii collabitur atque,bunic02.croala1761880.croala-lat2w:body.div2.l176.w2
estlocus0,Iouis,Aequorei quanquam fuerit Iouis inclyta proles .,bunic02.croala1761880.croala-lat2w:body.div2.l244.w4
estlocus0,Iouis,"Tunc subito sic orsa loqui : "" Iouis alta propago",bunic02.croala1761880.croala-lat2w:body.div2.l268.w6
estlocus0,Iouis,"Plutonis domus et summi Iouis alta potestas ,",bunic02.croala1761880.croala-lat2w:body.div3.l42.w5
estlocus0,Iouis,Et uidet Alcmenae et Iouis omnipotentis alumnum,bunic02.croala1761880.croala-lat2w:body.div3.l141.w5
estlocus0,Iouis,"Progenies inuicta Iouis , quem Iuppiter alto",bunic02.croala1761880.croala-lat2w:body.div3.l151.w3
estlocus0,Iouis,Contremuit percussa soror Iouis . Elicis umbram,bunic02.croala1761880.croala-lat2w:body.div3.l343.w4
estlocus1,Ister,Ister et Illyrico ueniens a littore Narbon .,bunic02.croala1761880.croala-lat2w:body.div1.l229.w1
estlocus0,Iudae,De Iudae catuli tribu leonis .,bunic02.croala1761880.croala-lat2w:front.app2.rdg2.div.l13.app.rdg2.w2
estlocus0,Iuno,"Iuppiter ipse mihi genitor , me Iuno nouerca",bunic02.croala1761880.croala-lat2w:body.div2.l114.w6
estlocus0,Iuno,""" Tu genitor , Saturne , mihi , tu , regia Iuno ,",bunic02.croala1761880.croala-lat2w:body.div3.l165.w7
estlocus0,Iunoni,Si referet superae Iunoni inuisa propago .,bunic02.croala1761880.croala-lat2w:body.div2.l239.w4
estlocus0,Iunonis,At non hinc audax nostrae Iunonis adulter,bunic02.croala1761880.croala-lat2w:body.div2.l242.w6
estlocus0,Iunonis,"Victoris contra uires Iunonis iniquas . """,bunic02.croala1761880.croala-lat2w:body.div3.l293.w4
estlocus0,Iuppiter,"Iuppiter Alcides , Saturnia regna redirent .",bunic02.croala1761880.croala-lat2w:body.div2.l62.w1
estlocus0,Iuppiter,Sarcophagi : uolucrem mihi Iuppiter Arcada caelo,bunic02.croala1761880.croala-lat2w:body.div2.l66.w4
estlocus0,Iuppiter,"Iuppiter ipse mihi genitor , me Iuno nouerca",bunic02.croala1761880.croala-lat2w:body.div2.l114.w1
estlocus0,Iuppiter,Conditus aetheria tunc Iuppiter arce latebat,bunic02.croala1761880.croala-lat2w:body.div3.l94.w4
estlocus0,Iuppiter,"Progenies inuicta Iouis , quem Iuppiter alto",bunic02.croala1761880.croala-lat2w:body.div3.l151.w5
estlocus0,Iuppiter,"Iuppiter , interdum licuit quoi fallere diuos .",bunic02.croala1761880.croala-lat2w:body.div3.l180.w1
estlocus0,Iuppiter,"Ergo uictor ago grates tibi , Iuppiter , auctor",bunic02.croala1761880.croala-lat2w:body.div3.l292.w6
estlocus0,Ixion,"Constitit Ixion , pertusas fontibus urnas",bunic02.croala1761880.croala-lat2w:body.div2.l103.w2
estlocus1,Lacaenis,Virginibus satyros cupiens miscere Lacaenis .,bunic02.croala1761880.croala-lat2w:body.div1.l216.w5
estlocus1,Lacinia,"Acer Auentinum , tu templa Lacinia condis .",bunic02.croala1761880.croala-lat2w:body.div3.l340.w5
estlocus1,Laethes,Fas Phlegetonte tenet placidoque in flumine Laethes,bunic02.croala1761880.croala-lat2w:body.div1.l296.w7
estlocus0,Laeuiathan,"Laeuiathan , crines flauos arrectaque pulchrae",bunic02.croala1761880.croala-lat2w:body.div3.l77.w1
estlocus0,Laomedontida,"Aequoreoque rapis tu Laomedontida monstro . """,bunic02.croala1761880.croala-lat2w:body.div3.l345.w4
estlocus0,Lapithas,Lapithas,bunic02.croala1761880.croala-lat2w:body.div1.l77.app.rdg3.w
estlocus0,Lapitum,""" Rex Lapitum , armisoni proles a sanguine Martis ,",bunic02.croala1761880.croala-lat2w:body.div2.l331.w2
estlocus0,Latona,"Quae prolem , Latona , tuam stridente sub ipsis",bunic02.croala1761880.croala-lat2w:body.div1.l283.w3
estlocus0,Latoo,Seu tua Latoo potius cunabula Cyntho,bunic02.croala1761880.croala-lat2w:body.div1.l12.w3
estlocus0,Laus,"Laus acri rapienda uiro est et adorea pugnae . """,bunic02.croala1761880.croala-lat2w:body.div2.l250.w1
estlocus0,Legaeaque,Cymothoeque Legaeaque Spio,bunic02.croala1761880.croala-lat2w:body.div1.l167.app.rdg2.w2
estlocus0,Leonem,Orbes quem decimum uocant Leonem .,bunic02.croala1761880.croala-lat2w:front.app2.rdg2.div.l9.app.rdg2.w5
estlocus1,Lesbius,"Tractabant , supplex fundebat Lesbius aurum .",bunic02.croala1761880.croala-lat2w:body.div3.l311.w4
estlocus0,Libera,"Libera , corporeo quibus est de carcere pulsa",bunic02.croala1761880.croala-lat2w:body.div2.l322.w1
estlocus0,Libera,"Libera causa , deus , mens mundi , certa uoluntas ,",bunic02.croala1761880.croala-lat2w:body.div3.l2.w1
estlocus0,Liberumque,"Musas , Pallada Liberumque patrem ,",bunic02.croala1761880.croala-lat2w:front.app2.rdg2.div.l4.w3
estlocus0,Liminoriaque,"Liminoriaque , Acteique , Spioque ,",bunic02.croala1761880.croala-lat2w:body.div1.l166.app.rdg1.w1
estlocus0,Limnoria,"Limnoria , Actei Cymodoceque",bunic02.croala1761880.croala-lat2w:body.div1.l166.app.rdg2.w1
estlocus1,Liparis,"Corniger Eridanus , Liparis , Moedusque Nyphates",bunic02.croala1761880.croala-lat2w:body.div1.l227.w3
estlocus0,Lucifer,Puniceo ille Satan surgebat Lucifer ortu .,bunic02.croala1761880.croala-lat2w:body.div3.l89.w5
estlocus0,Lucifer,"Lucifer interea , quod se deus altior esset ,",bunic02.croala1761880.croala-lat2w:body.div3.l100.w1
estlocus0,Lucifer,Sidera labantur . Sic Lucifer aethere summo,bunic02.croala1761880.croala-lat2w:body.div3.l110.w4
estlocus0,Lucina,Quosque nouercales Lucina excoepit in ulnas,bunic02.croala1761880.croala-lat2w:body.div2.l327.w3
estlocus4,Luna,Nondum Luna nothos agitabat candida currus,bunic02.croala1761880.croala-lat2w:body.div3.l87.w2
estlocus0,Lyciscae,"Expertus rabiem timidae domitare Lyciscae ,",bunic02.croala1761880.croala-lat2w:body.div2.l170.w5
estlocus1,Lycus,DillectusqueDilectusque Lycus nymphis et fuluus Oaxis,bunic02.croala1761880.croala-lat2w:body.div1.l220.w1
estlocus0,Maeraque,Maeraque prima nouos experta cupidinis ignes,bunic02.croala1761880.croala-lat2w:body.div1.l193.w1
estlocus0,Magnes,"Fluctibus in mediis , Magnes et concaua circum",bunic02.croala1761880.croala-lat2w:body.div2.l205.w4
estlocus1,Maleae,"Est prope in obiectu rabidae spelunca Maleae ,",bunic02.croala1761880.croala-lat2w:body.div1.l22.w7
estlocus0,Mammona,Caetera serpenti similis . Prope Mammona curru,bunic02.croala1761880.croala-lat2w:body.div3.l79.w5
estlocus0,Manibus,Manibus inferiasque meis atque aggere inanem,bunic02.croala1761880.croala-lat2w:body.div2.l50.w1
estlocus0,Mars,Daemonas ut cunctos Mars experiatur ad unum .,bunic02.croala1761880.croala-lat2w:body.div3.l253.w4
estlocus0,Marte,Smyrneusque Meles et multo Marte notatus,bunic02.croala1761880.croala-lat2w:body.div1.l228.w5
estlocus0,Marte,Marte furens totoque intorquet turbine telum,bunic02.croala1761880.croala-lat2w:body.div3.l242.w1
estlocus0,Martem,"Vulcano candente ferunt , qua buccina Martem",bunic02.croala1761880.croala-lat2w:body.div2.l198.w6
estlocus0,Martem,"Inuadunt Martem , crebris sonat ictibus omnis",bunic02.croala1761880.croala-lat2w:body.div3.l236.w2
estlocus0,Marteque,domuisse canem ui Marteque,bunic02.croala1761880.croala-lat2w:body.div1.l3.app.rdg2.w4
estlocus0,Marti,"Ferrea compago , sic Marti ferreus ensis ,",bunic02.croala1761880.croala-lat2w:body.div2.l118.w4
estlocus0,Martis,Quoi Phlegyae genus inuiso de sanguine Martis :,bunic02.croala1761880.croala-lat2w:body.div2.l304.w7
estlocus0,Martis,""" Rex Lapitum , armisoni proles a sanguine Martis ,",bunic02.croala1761880.croala-lat2w:body.div2.l331.w7
estlocus0,Martis,"Cultor siluarum et Martis lymphator anheli ,",bunic02.croala1761880.croala-lat2w:body.div3.l212.w4
estlocus0,Mauortis,"Seu durum Mauortis opus , certamen iniri",bunic02.croala1761880.croala-lat2w:body.div3.l147.w3
estlocus1,Maurum,"Implicat , Assacheus ueluti draco sanguine Maurum",bunic02.croala1761880.croala-lat2w:body.div2.l180.w6
estlocus0,Medusae,Exequar ? Harpyiaeque et Phorcidos umbra Medusae,bunic02.croala1761880.croala-lat2w:body.div1.l41.w6
estlocus0,Megaera,At procul aeria custos ex arce Megaera,bunic02.croala1761880.croala-lat2w:body.div2.l184.w7
estlocus0,Megaera,Exin Gorgoneis serpentibus hirta Megaera,bunic02.croala1761880.croala-lat2w:body.div3.l67.w5
estlocus1,Meles,Smyrneusque Meles et multo Marte notatus,bunic02.croala1761880.croala-lat2w:body.div1.l228.w2
estlocus0,Meliteque,Protoque Meliteque TaliaqueThaliaque DotoqueDoto Ieraque,bunic02.croala1761880.croala-lat2w:body.div1.l164.w2
estlocus1,Memphitico,Memphitico pingues e,bunic02.croala1761880.croala-lat2w:body.div1.l149.app.rdg2.w1
estlocus0,Meni,"Apseudisque Ianiraque et hispida corpore Meni ,",bunic02.croala1761880.croala-lat2w:body.div1.l195.w6
estlocus0,Mercurio,Mercurio sic uirga datur . Nonne ipse tridentem,bunic02.croala1761880.croala-lat2w:body.div2.l121.w1
estlocus1,Methymnaeus,Qua Methymnaeus donaria liquit Arion :,bunic02.croala1761880.croala-lat2w:body.div3.l307.w2
estlocus0,Metus,"Hic Dolor , hic Metus , hic immanem pandit hiatum",bunic02.croala1761880.croala-lat2w:body.div1.l49.w4
estlocus0,Minos,"Iudicat atque Asiam magnam , peccataque Minos",bunic02.croala1761880.croala-lat2w:body.div3.l47.w6
estlocus0,Mira,Mira Corinthiaco narrabat facta tyranno .,bunic02.croala1761880.croala-lat2w:body.div3.l327.w1
estlocus1,Moedusque,"Corniger Eridanus , Liparis , Moedusque Nyphates",bunic02.croala1761880.croala-lat2w:body.div1.l227.w4
estlocus0,Musa,"Cur mea dicta Charis , cur Gratia Musa uocata est ?",bunic02.croala1761880.croala-lat2w:front.app1.rdg1.div.l1.w7
estlocus0,Musae,"Vatibus aetherios , Musae , quae infunditis haustus :",bunic02.croala1761880.croala-lat2w:body.div3.l229.w3
estlocus0,Musas,"Musas , Pallada Liberumque patrem ,",bunic02.croala1761880.croala-lat2w:front.app2.rdg2.div.l4.w1
estlocus4,Mycenaeo,"Monstra Mycenaeo domuitsuperat sub rege , timendus",bunic02.croala1761880.croala-lat2w:body.div1.l5.w2
estlocus1,Mysia,Iurabant nil scire tui . Scit Mysia quantum,bunic02.croala1761880.croala-lat2w:body.div1.l98.w6
estlocus0,Napaeae,", Napaeae !",bunic02.croala1761880.croala-lat2w:body.div1.l139.app.rdg2.w
estlocus0,Napaeas,Flumina te propter nymphas rapuisse Napaeas !,bunic02.croala1761880.croala-lat2w:body.div1.l94.w6
estlocus0,Napaeas,Scilicet hoc pulchras prodest uidisse Napaeas,bunic02.croala1761880.croala-lat2w:body.div1.l270.w6
estlocus1,Narbon,Ister et Illyrico ueniens a littore Narbon .,bunic02.croala1761880.croala-lat2w:body.div1.l229.w7
estlocus1,Naron,"Dalmaticus Naron , Phasis Phrygiusque Caycus ,",bunic02.croala1761880.croala-lat2w:body.div1.l225.w2
estlocus0,Nayadas,Nayadas aspicio spumantes ire per undas .,bunic02.croala1761880.croala-lat2w:body.div1.l129.w1
estlocus0,Nayadum,Numina Nayadum te sub sua regna tulisse .,bunic02.croala1761880.croala-lat2w:body.div1.l105.w2
estlocus0,Nayadum,"In caua Nayadum spumosae Doridos antra . """,bunic02.croala1761880.croala-lat2w:body.div1.l135.w3
estlocus1,Neapolitano,Reuerendissimo in Christo patri D. Oliuerio Carraphe Cardinali Neapolitano episcopo Sabinensi protectori Ragusino Iacobus Bonus,bunic02.croala1761880.croala-lat2w:front.app2.rdg2.div.head.app.rdg1.w8
estlocus0,Nelidae,"Nelidae auxilium ferret , uix saucius iram",bunic02.croala1761880.croala-lat2w:body.div3.l159.w1
estlocus1,Nemeaeo,Nudatumque clepit Nemeaeo tegmine corpus,bunic02.croala1761880.croala-lat2w:body.div2.l160.w3
estlocus0,Neptunia,Quum Notus aut Aquilo Neptunia concutit arua .,bunic02.croala1761880.croala-lat2w:body.div2.l32.w5
estlocus0,Neptuno,"Tela trisulca Ioui , Neptuno fuscina , Phoebo",bunic02.croala1761880.croala-lat2w:body.div2.l119.w4
estlocus0,Neptunum,"Quae Tethym et Neptunum et te , Tritonia Pallas ,",bunic02.croala1761880.croala-lat2w:body.div1.l281.w4
estlocus0,Nerea,"Tergore pinnifero , uolucri quom Nerea curru",bunic02.croala1761880.croala-lat2w:body.div1.l209.w5
estlocus0,Nerea,Nerea delapsi uastum comitantur in aequor,bunic02.croala1761880.croala-lat2w:body.div1.l218.w1
estlocus0,Nerei,"Hoc currum Nerei , infidiiniustiinfidi hoc miracula ponti ,",bunic02.croala1761880.croala-lat2w:body.div1.l272.w3
estlocus0,Nereidum,Nereidum sic laeta cohors fluuiique sonantes,bunic02.croala1761880.croala-lat2w:body.div1.l217.w1
estlocus0,Nereidumque,"Nereidumque choros et Doridos antra marinae ,",bunic02.croala1761880.croala-lat2w:body.div1.l271.w1
estlocus0,Nereo,"O Hymenaee , tibi magno pulcherrima Nereo",bunic02.croala1761880.croala-lat2w:body.div1.l159.w6
estlocus0,Nereus,Agmina nam propior cupiebat iungere Nereus,bunic02.croala1761880.croala-lat2w:body.div1.l211.w6
estlocus0,Nereus,"Atria grandaeuus pulchra cum coniuge Nereus ,",bunic02.croala1761880.croala-lat2w:body.div1.l276.w6
estlocus0,Neritium,Hoc et Neritium cantu sopisset Vlixem,bunic02.croala1761880.croala-lat2w:body.div3.l319.w3
estlocus1,Nessumque,Ad Rhodani ripas sternis Nessumque latronemque,bunic02.croala1761880.croala-lat2w:body.div3.l339.w5
estlocus1,Nesti,Quum leo descendit poturus flumina Nesti,bunic02.croala1761880.croala-lat2w:body.div3.l121.w6
estlocus0,Nestoreaeque,Nestoreaeque memor fuerat Saturnius aulae ;,bunic02.croala1761880.croala-lat2w:body.div3.l157.w1
estlocus1,Nilus,Et septemgeminus secreto Nilus ab ortu,bunic02.croala1761880.croala-lat2w:body.div1.l222.w4
estlocus0,Nympharumque,"Nympharumque chori , uasto genetricis in antro",bunic02.croala1761880.croala-lat2w:body.div1.l162.w1
estlocus1,Nyphates,"Corniger Eridanus , Liparis , Moedusque Nyphates",bunic02.croala1761880.croala-lat2w:body.div1.l227.w5
estlocus1,Oaxis,DillectusqueDilectusque Lycus nymphis et fuluus Oaxis,bunic02.croala1761880.croala-lat2w:body.div1.l220.w5
estlocus4,Oceani,"Praecipue Oceani thalamos , ipsoque canebat",bunic02.croala1761880.croala-lat2w:body.div1.l173.w2
estlocus4,Oceani,"Oceani , scopulis sed firma sonantibus haeret",bunic02.croala1761880.croala-lat2w:body.div2.l204.w1
