estLocus,Nomen,Textus,LEMMA,LOCI CITE URN,ANNOTATOR INITIALS,CTS URN,SEQUENCE,,,,,,,,,,,,,,,,,
estlocus1,Stygiique,Inuasit Stygiique ferox sacraria regni,Stygius,50706.0,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l26.w2,969685.0,,,,,,,,,,,,,,,,,
estlocus4,Erebi,Et caligantes Erebi deuenit ad umbras .,LEMMA,,ANNOTATOR,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l27.w3,969714.0,,,,,,,,,,,,,,,,,
estlocus4,Orci,"Quamuis inferni trita est uia , uos tamen Orci",LEMMA,,ANNOTATOR,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l28.w8,969771.0,,,,,,,,,,,,,,,,,
estlocus1,Phlegeton,"Panditis et Phlegeton quos gurgite lustrat adusto ,",Phlegethon,50691.0,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l30.w3,969825.0,,,,,,,,,,,,,,,,,
estlocus1,Tartareae,Et uos Tartareae secreta silentia noctis,Tartareus,50714.0,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l31.w3,969862.0,,,,,,,,,,,,,,,,,
estlocus1,Andini,Adsitis : sequor Andini uestigia uatis .,Andinus,50608.0,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l32.w3,969895.0,,,,,,,,,,,,,,,,,
estlocus1,Auerni,Principio ad fauces tetri stabulantur Auerni,Avernus,50614.0,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l33.w6,969936.0,,,,,,,,,,,,,,,,,
estlocus1,Scyllaque,"Scyllaque , Circaeis quoi latrant inguina monstris ,",Scylla,50700.0,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l35.w1,969982.0,,,,,,,,,,,,,,,,,
estlocus1,Parrhasius,"Parrhasius serpens , ignisque erructat eructat ad auras",Parrhasius,50685.0,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l38.w1,970081.0,,,,,,,,,,,,,,,,,
estlocus1,Chimaera,Fumantes horrenda globos terno ore Chimaera .,LEMMA,,ANNOTATOR,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l39.w6,970152.0,,,,,,,,,,,,,,,,,
