CITE URN,Latin lemma,Short description,Created by,Created on
urn:cite:croala:latlexent.lex29802.1,Tragurinus,adjective for belonging to or of Tragurium,http://orcid.org/0000-0002-0438-6049,2016-10-28
urn:cite:croala:latlexent.lex89215.1,Ariminensis,name of an inhabitant of Ariminium,http://orcid.org/0000-0002-0438-6049,2016-10-28
urn:cite:croala:latlexent.lex80064.1,Ariminea,name of the poem related to the town of Ariminium,http://orcid.org/0000-0002-0438-6049,2016-11-01
urn:cite:croala:latlexent.lex80065.1,Phlegraeus,adjective of belonging to or of Phlegra,http://orcid.org/0000-0002-0438-6049,2016-11-01
urn:cite:croala:latlexent.lex80066.1,Cyrrha,name of the town Cyrrhus,http://orcid.org/0000-0002-0438-6049,2016-11-01
urn:cite:croala:latlexent.lex29812.1,Pharensis,adjective for belonging to or of Pharus,http://orcid.org/0000-0002-0438-6049,2016-10-28
urn:cite:croala:latlexent.lex34156.1,Hyblaeus,adjective for belonging to or of Mount Hybla,http://orcid.org/0000-0002-0438-6049,2016-10-28
urn:cite:croala:latlexent.lex21216.1,Pharos,name of a town on the island of Pharos,http://orcid.org/0000-0002-0438-6049,2016-10-28
urn:cite:croala.latlexent.lex22341.1,Pisae,"name of a town in Italy, Pisa",http://orcid.org/0000-0002-0438-6049,2016-10-28
urn:cite:croala:latlexent.lex22342.1,Pisa,"another name of a town in Italy, Pisa",http://orcid.org/0000-0002-0438-6049,2016-11-01
urn:cite:croala:latlexent.lex87965.1,Indus,adjective for belonging to or of India,http://orcid.org/0000-0002-0438-6049,2016-10-29
urn:cite:croala:latlexent.lex92341.1,Ithacensis,adjective for belonging to or of Ithaca,http://orcid.org/0000-0002-0438-6049,2016-10-29
urn:cite:croala:latlexent.lex21245.1,Fluentinus,"adjective for belonging to or of Fluentia, Florence",http://orcid.org/0000-0002-0438-6049,2016-10-29
urn:cite:croala:latlexent.lex43452.1,Hiberus,"adjective for belonging to or of Hiberia, Spain",http://orcid.org/0000-0002-0438-6049,2016-10-29
urn:cite:croala:latlexent.lex32435.1,Florentinus,"adjective for belonging to or of Florentia, Florence",http://orcid.org/0000-0002-0438-6049,2016-10-29
urn:cite:croala:latlexent.lex21341.1,Spalatum,"name of a city in Croatia, Split",http://orcid.org/0000-0002-0438-6049,2016-10-29
urn:cite:croala:latlexent.lex65210.1,Illyricus,name of an inhabitant of Illyricum,http://orcid.org/0000-0002-0438-6049,2016-10-29
urn:cite:croala:latlexent.lex67754.1,Cyrrhaeus,adjective for belonging to or of Cyrrhus,http://orcid.org/0000-0002-0438-6049,2016-10-29
urn:cite:croala:latlexent.lex41201.1,Libycus,adjective for belonging to or of Lybia,http://orcid.org/0000-0002-0438-6049,2016-10-29
urn:cite:croala:latlexent.lex21124.1,Bellorophonteus,adjective for belonging to or of Bellerophon,http://orcid.org/0000-0002-0438-6049,2016-10-29
urn:cite:croala:latlexent.lex21145.1,Turcae,name for inhabitants of Turkey,http://orcid.org/0000-0002-0438-6049,2016-10-29
urn:cite:croala:latlexent.lex22245.1,Spalatensis,name for an inhabitant of Spalatum,http://orcid.org/0000-0002-0438-6049,2016-10-29
urn:cite:croala:latlexent.lex80067.1,Graius,adjective for belonging to or of the Greeks,http://orcid.org/0000-0002-0438-6049,2016-11-01
urn:cite:croala:latlexent.lex55421.1,Phlegethonteus,adjective for belonging to or of Phlegethon,http://orcid.org/0000-0002-0438-6049,2016-10-29
urn:cite:croala:latlexent.lex44578.1,Pegasis,female adjective for belonging to or of Hippocrene,http://orcid.org/0000-0002-0438-6049,2016-10-29
urn:cite:croala:latlexent.lex52236.1,Gaetulus,adjective for belonging to or of Gaetuli,http://orcid.org/0000-0002-0438-6049,2016-10-29
urn:cite:croala:latlexent.lex56632.1,Hyrcanus,adjective for belonging to or of Hyrcani,http://orcid.org/0000-0002-0438-6049,2016-10-29
urn:cite:croala:latlexent.lex42331.1,Gargaphius,adjective for belonging to or of Gargaphie*,http://orcid.org/0000-0002-0438-6049,2016-10-29
urn:cite:croala:latlexent.lex80068.1,Tartara,"name of the lower world, Tartarus",http://orcid.org/0000-0002-0438-6049,2016-11-01
urn:cite:croala:latlexent.lex80069.1,Eurus,name of a southeastern wind,http://orcid.org/0000-0002-0438-6049,2016-11-01
urn:cite:croala:latlexent.lex80071.1,Solymae,"alternative name for the town of Hierosolyma, Jerusalem",http://orcid.org/0000-0002-0438-6049,2016-11-01
urn:cite:croala:latlexent.lex80070.1,Myrrhaeus,adjective for belonging to or of the town of Myrrha,http://orcid.org/0000-0002-0438-6049,2016-11-01
urn:cite:croala:latlexent.lex80072.1,Lydda,name of a town,http://orcid.org/0000-0002-0438-6049,2016-11-01
urn:cite:croala:latlexent.lex80040.1,Babylonia,name of a province,http://orcid.org/0000-0002-0438-6049,2016-10-29
urn:cite:croala:latlexent.lex80073.1,Senaria,name of a town,http://orcid.org/0000-0002-0438-6049,2016-11-01
urn:cite:croala:latlexent.lex80074.1,Bethlemum,another name of the town Bethlehem,http://orcid.org/0000-0002-0438-6049,2016-11-01
urn:cite:croala:latlexent.lex80041.1,Media,name of a country,http://orcid.org/0000-0002-0438-6049,2016-10-29
urn:cite:croala:latlexent.lex80042.1,Asia,name of a region,http://orcid.org/0000-0002-0438-6049,2016-10-29
urn:cite:croala:latlexent.lex80043.1,Persis,name of a country,http://orcid.org/0000-0002-0438-6049,2016-10-29
urn:cite:croala:latlexent.lex80044.1,Treveris,"name of a town of the Treviri, Augusta Treverorum, Trier",http://orcid.org/0000-0002-0438-6049,2016-10-29
urn:cite:croala:latlexent.lex80045.1,Giscalis,"name of a town in Galilea, Giscala",http://orcid.org/0000-0002-0438-6049,2016-10-29
urn:cite:croala:latlexent.lex80046.1,Salamina,name of a Greek island,http://orcid.org/0000-0002-0438-6049,2016-10-29
urn:cite:croala:latlexent.lex80047.1,Asiacus,adjective of belonging to or of Asia,http://orcid.org/0000-0002-0438-6049,2016-10-29
urn:cite:croala:latlexent.lex80075.1,Hieropolis,alternative name of the town of Hierapolis in Phrygia,http://orcid.org/0000-0002-0438-6049,2016-11-01
urn:cite:croala:latlexent.lex80048.1,Phrygia,name of a province,http://orcid.org/0000-0002-0438-6049,2016-10-30
urn:cite:croala:latlexent.lex80049.1,Armenia,name of a province,http://orcid.org/0000-0002-0438-6049,2016-10-30
urn:cite:croala:latlexent.lex80050.1,Albanum,name of a town,http://orcid.org/0000-0002-0438-6049,2016-10-30
urn:cite:croala:latlexent.lex80051.1,Lycaonia,name of a province,http://orcid.org/0000-0002-0438-6049,2016-10-30
urn:cite:croala:latlexent.lex80052.1,Ephesus,name of a town,http://orcid.org/0000-0002-0438-6049,2016-10-30
urn:cite:croala:latlexent.lex80053.1,Diana,name of a goddess,http://orcid.org/0000-0002-0438-6049,2016-10-30
urn:cite:croala:latlexent.lex80055.1,Macedae,another name of people Macetai,http://orcid.org/0000-0002-0438-6049,2016-10-30
urn:cite:croala:latlexent.lex80056.1,Nadabar,name of a town,http://orcid.org/0000-0002-0438-6049,2016-10-30
urn:cite:croala:latlexent.lex800741,Delmatia,another name of Dalmatia,http://orcid.org/0000-0002-0438-6049,2016-11-01
urn:cite:croala:latlexent.lex80057.1,Iuleus,adjective for belonging to or of Iulus,http://orcid.org/0000-0002-0438-6049,2016-10-30
urn:cite:croala:latlexent.lex80076.1,Chiron,another name of Sciron,http://orcid.org/0000-0002-0438-6049,2016-11-02
urn:cite:croala:latletxent.lex89172.1,gymnasium,"word for a public school, a highschool, college",http://orcid.org/0000-0002-9119-399X,2016-10-19
urn:cite:croala:latletxent.lex89173.1,Gregorius,A personal name.,http://orcid.org/0000-0002-9119-399X,2016-10-19
urn:cite:croala:latlexent.lex12653.1,Imola,Name of a city in Italy.,http://orcid.org/0000-0002-9119-399X,2016-10-09+02:00
urn:cite:croala:latlexent.lex12776.1,Bosti,Name for the Italian town Bosco Marengo.,http://orcid.org/0000-0002-9119-399X,2016-10-09+02:00
urn:cite:croala:latlexent.lex14928.1,Taruixium,"Name of a city in Italy, Treviso.",http://orcid.org/0000-0002-9119-399X,2016-10-09+02:00
urn:cite:croala:latlexent.lex14996.1,Ambrosius,A personal name.,http://orcid.org/0000-0002-9119-399X,2016-10-09+02:00
urn:cite:croala:latlexent.lex15143.1,Maiolus,A personal name.,http://orcid.org/0000-0002-9119-399X,2016-10-09+02:00
urn:cite:croala:latlexent.lex22082.1,Hungaria,Name of a state in East-Central Europe.,http://orcid.org/0000-0002-9119-399X,2016-10-09+02:00
urn:cite:croala:latlexent.lex2372.1,Liguria,Name of a region in Italy.,http://orcid.org/0000-0002-9119-399X,2016-10-09+02:00
urn:cite:croala:latlexent.lex2382.1,Saona,Name of a city in Italy.,http://orcid.org/0000-0002-9119-399X,2016-10-09+02:00
urn:cite:croala:latlexent.lex23841.1,Praga,Name of a city in Bohemia.,http://orcid.org/0000-0002-9119-399X,2016-10-09+02:00
urn:cite:croala:latlexent.lex25611.1,Vianna,"Name of a city in Europe, Vienna.",http://orcid.org/0000-0002-9119-399X,2016-10-09+02:00
urn:cite:croala:latlexent.lex26333.1,Carnicum,Name of a region in East-Central Europe.,http://orcid.org/0000-0002-9119-399X,2016-10-09+02:00
urn:cite:croala:latlexent.lex26446.1,Europa,"In an extended signification, name of the continent of Europe.",http://orcid.org/0000-0002-9119-399X,2016-10-09+02:00
urn:cite:croala:latlexent.lex26716.1,Austria,Name of a state in central Europe.,http://orcid.org/0000-0002-9119-399X,2016-10-09+02:00
urn:cite:croala:latlexent.lex27429.1,Alba,"Name of a city in Hungary, Székesfehérvár.",http://orcid.org/0000-0002-9119-399X,2016-10-09+02:00
urn:cite:croala:latlexent.lex29072.1,Alemannia,Name of a state in Europe.,http://orcid.org/0000-0002-9119-399X,2016-10-09+02:00
urn:cite:croala:latlexent.lex30189.1,Buda,Name of a city in Hungary.,http://orcid.org/0000-0002-9119-399X,2016-10-09+02:00
urn:cite:croala:latlexent.lex3151.1,Senae,Name of a city in Italy (Umbria).,http://orcid.org/0000-0002-9119-399X,2016-10-09+02:00
urn:cite:croala:latlexent.lex32295.1,Dacicum,Name of the province Dacia.,http://orcid.org/0000-0002-9119-399X,2016-10-09+02:00
urn:cite:croala:latlexent.lex34308.1,Rhacusa,Name of a city in Dalmatia.,http://orcid.org/0000-0002-9119-399X,2016-10-09+02:00
urn:cite:croala:latlexent.lex34329.1,Dalmatia,Name of a region on the eastern coast of the Adriatic.,http://orcid.org/0000-0002-9119-399X,2016-10-09+02:00
urn:cite:croala:latlexent.lex35118.1,Rhacosium,"Name of the field near Buda in Hungary, Rákos-mező.",http://orcid.org/0000-0002-9119-399X,2016-10-09+02:00
urn:cite:croala:latlexent.lex35195.1,Pestum,Name of a city in Hungary.,http://orcid.org/0000-0002-9119-399X,2016-10-09+02:00
urn:cite:croala:latlexent.lex35196.1,Pestanus,Belonging to a city Pest in Hungary.,http://orcid.org/0000-0002-9119-399X,2016-10-09+02:00
urn:cite:croala:latlexent.lex35245.1,Danubius,Name of the river Danube.,http://orcid.org/0000-0002-9119-399X,2016-10-09+02:00
urn:cite:croala:latlexent.lex35575.1,Adriaticum,A name for the Adriatic Sea.,http://orcid.org/0000-0002-9119-399X,2016-10-09+02:00
urn:cite:croala:latlexent.lex35658.1,Euxinum,Name of the Black Sea.,http://orcid.org/0000-0002-9119-399X,2016-10-09+02:00
urn:cite:croala:latlexent.lex36171.1,Dravus,Name of a river in East-Central Europe.,http://orcid.org/0000-0002-9119-399X,2016-10-09+02:00
urn:cite:croala:latlexent.lex36771.1,Macedonia,Name of a state in Europe.,http://orcid.org/0000-0002-9119-399X,2016-10-09+02:00
urn:cite:croala:latlexent.lex36788.1,Illyricum,Name of a region in Europe.,http://orcid.org/0000-0002-9119-399X,2016-10-09+02:00
urn:cite:croala:latlexent.lex37963.1,Raxia,"Name of a state in Europe, Serbia.",http://orcid.org/0000-0002-9119-399X,2016-10-09+02:00
urn:cite:croala:latlexent.lex38242.1,Asia,"In an extended signification, name of the region Asia Minor, and of the continent Asia.",http://orcid.org/0000-0002-9119-399X,2016-10-09+02:00
urn:cite:croala:latlexent.lex38340.1,Moschovia,Name of a city and state in Russia.,http://orcid.org/0000-0002-9119-399X,2016-10-09+02:00
urn:cite:croala:latlexent.lex38424.1,Hyrcanum,Name of the Caspian Sea,http://orcid.org/0000-0002-9119-399X,2016-10-09+02:00
urn:cite:croala:latlexent.lex4108.1,Vicheria,"Name of a city in Italy, Voghera.",http://orcid.org/0000-0002-9119-399X,2016-10-09+02:00
urn:cite:croala:latlexent.lex4145.1,Ticinium,"Name of a city in Italy, Pavia.",http://orcid.org/0000-0002-9119-399X,2016-10-09+02:00
urn:cite:croala:latlexent.lex4171.1,Venetiae,"Name of a city in Italy, Venezia.",http://orcid.org/0000-0002-9119-399X,2016-10-09+02:00
urn:cite:croala:latlexent.lex4189.1,Perusium,Name of a city in Italy.,http://orcid.org/0000-0002-9119-399X,2016-10-09+02:00
urn:cite:croala:latlexent.lex4207.1,Ferraria,Name of a city in Italy.,http://orcid.org/0000-0002-9119-399X,2016-10-09+02:00
urn:cite:croala:latlexent.lex435.1,Sixtus,A personal name.,http://orcid.org/0000-0002-9119-399X,2016-10-09+02:00
urn:cite:croala:latlexent.lex45266.1,Polonia,Name of a state in Europe.,http://orcid.org/0000-0002-9119-399X,2016-10-09+02:00
urn:cite:croala:latlexent.lex473.1,Modrusiensis,Adjective describing belonging to a city of Modruš (Croatia).,http://orcid.org/0000-0002-9119-399X,2016-10-09+02:00
urn:cite:croala:latlexent.lex50557.1,Bohemia,Name of a state in central Europe.,http://orcid.org/0000-0002-9119-399X,2016-10-09+02:00
urn:cite:croala:latlexent.lex61489.1,Valdanus,"Name of a river in Europe, Una.",http://orcid.org/0000-0002-9119-399X,2016-10-09+02:00
urn:cite:croala:latlexent.lex61527.1,Drinus,Name of a river in East-Central Europe.,http://orcid.org/0000-0002-9119-399X,2016-10-09+02:00
urn:cite:croala:latlexent.lex61578.1,Bossina,"Name of a state in East-Central Europe, Bosnia (Bosna).",http://orcid.org/0000-0002-9119-399X,2016-10-09+02:00
urn:cite:croala:latlexent.lex62244.1,Iaiza,"Name of a city in Bosnia, Jajce.",http://orcid.org/0000-0002-9119-399X,2016-10-09+02:00
